feature,importance
categorical__rpsr_cod_DT|HP|SDY,0.0
categorical__rpsr_cod_DT|HP|OTH|SDY,0.0
categorical__rpsr_cod_DT|HP|OTH,0.0
categorical__rpsr_cod_DT|HP|LIT,0.0
categorical__rpsr_cod_HP|OTH|SDY,0.0
categorical__rpsr_cod_HP|LIT|SDY,0.0
categorical__rpsr_cod_HP|LIT|OTH,0.0
categorical__rpsr_cod_FGN|SDY,0.0
categorical__rpsr_cod_FGN|OTH|SDY,0.0
categorical__reporter_country_CM,0.0
categorical__reporter_country_CI,0.0
categorical__reporter_country_CHILE,0.0
categorical__rpsr_cod_FGN|LIT,0.0
categorical__rpsr_cod_FGN|HP|UF,0.0
categorical__rpsr_cod_FGN|HP|OTH|UF,0.0
bool__has_ss_drug,0.0
bool__has_ps_drug,0.0
bool__very_high_drug_burden_20,0.0
bool__high_drug_burden_10,0.0
bool__any_cns_coprescription,0.0
bool__multiple_zdrug,0.0
categorical__reporter_country_AZ,0.0
categorical__reporter_country_BOSNIA AND HERZEGOWINA,0.0
categorical__reporter_country_BOLIVIA,0.0
categorical__reporter_country_BO,0.0
categorical__reporter_country_BN,0.0
categorical__reporter_country_BM,0.0
categorical__rpsr_cod_HP|SDY|UF,0.0
categorical__reporter_country_BY,0.0
categorical__reporter_country_BW,0.0
categorical__reporter_country_BULGARIA,0.0
numeric__log_distinct_drug_n,0.0
numeric__log_drug_n,0.0
categorical__rpsr_cod_UF,0.0
categorical__rpsr_cod_OTH|UF,0.0
categorical__reporter_country_BI,0.0
categorical__reporter_country_LATVIA,0.0
bool__is_zaleplon,0.0
numeric__distinct_indi_n,0.0
categorical__reporter_country_CAMEROON,0.0
categorical__reporter_country_MALTA,0.0
categorical__reporter_country_MALAYSIA,0.0
categorical__reporter_country_PAKISTAN,0.0
categorical__reporter_country_IS,0.0
categorical__reporter_country_MA,0.0
categorical__reporter_country_LY,0.0
categorical__reporter_country_LV,0.0
categorical__reporter_country_LUXEMBOURG,0.0
categorical__reporter_country_LU,0.0
categorical__reporter_country_LT,0.0
categorical__reporter_country_BL,0.0
categorical__reporter_country_AL,0.0
categorical__reporter_country_KZ,0.0
categorical__reporter_country_KW,0.0
categorical__reporter_country_KUWAIT,0.0
categorical__reporter_country_ALGERIA,0.0
categorical__sex_clean_M,0.0
categorical__reporter_country_KP,0.0
"categorical__reporter_country_KOREA, REPUBLIC OF",0.0
"categorical__reporter_country_KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",0.0
categorical__reporter_country_KH,0.0
categorical__reporter_country_KG,0.0
categorical__reporter_country_KE,0.0
bool__has_rpsr,0.0
categorical__reporter_country_AT,0.0
categorical__reporter_country_AS,0.0
categorical__reporter_country_A1,0.0
