feature,coefficient,odds_ratio
categorical__occr_country_ID,-0.0008396494041402736,0.999160703002781
categorical__reporter_country_ID,-0.0008396494041402736,0.999160703002781
categorical__rpsr_cod_CSM|DT,-0.0008498370986874797,0.9991505239105861
categorical__reporter_country_MK,-0.0008511588071639128,0.9991492033257421
categorical__occr_country_MK,-0.0008511588071639128,0.9991492033257421
categorical__rpsr_cod_DT|HP|OTH|SDY,-0.0008831916827310871,0.9991171982162496
categorical__occr_country_DO,-0.0008948793287789567,0.9991055209563164
categorical__reporter_country_DO,-0.0008948793287789567,0.9991055209563164
categorical__reporter_country_MOROCCO,-0.0009095433271080725,0.9990908701820462
categorical__occr_country_PY,-0.0009120211884201941,0.9990883945764988
categorical__reporter_country_PY,-0.0009120211884201941,0.9990883945764988
categorical__rpsr_cod_CR|FGN|HP|OTH|SDY,-0.0009234754851621997,0.9990769507870962
categorical__rpsr_cod_CR|HP|OTH,-0.0009538283521425676,0.9990466263975243
bool__is_zaleplon,-0.0010061669448378722,0.9989943390713961
categorical__reporter_country_HONG KONG,-0.0010371830379497066,0.9989633546504676
categorical__reporter_country_UKRAINE,-0.0010714400076950856,0.9989291337792056
categorical__occr_country_RS,-0.0011841702370282362,0.9988165306158765
categorical__reporter_country_EGYPT,-0.0011910779037924652,0.9988096311479541
categorical__occr_country_HN,-0.0012613234377908367,0.9987394716962743
categorical__rept_cod_5DAY,-0.0013218498850347388,0.9986790233737098
categorical__rpsr_cod_DT,-0.001343672872890789,0.9986572294513157
categorical__reporter_country_CROATIA (LOCAL NAME: HRVATSKA),-0.0014246363574846605,0.9985763779551582
categorical__reporter_country_FINLAND,-0.0014354883532326321,0.9985655414673494
categorical__rpsr_cod_CSM|OTH|SDY,-0.0014374041605120485,0.9985636284100486
categorical__rpsr_cod_CSM|FGN|OTH|SDY,-0.0014554676626581174,0.9985455910167136
categorical__reporter_country_PUERTO RICO,-0.0014995850528012743,0.9985015387630414
categorical__reporter_country_PA,-0.0015197187264030631,0.9984814354613464
categorical__occr_country_DZ,-0.0015253700531704174,0.9984757927324279
categorical__rpsr_cod_CSM|HP|OTH|SDY,-0.0015450787201050375,0.9984561142995051
categorical__rpsr_cod_CR|CSM|HP|OTH,-0.0016000807685170309,0.9984011986782189
categorical__rpsr_cod_FGN|SDY,-0.0016281905538125577,0.9983731342293298
categorical__reporter_country_ALGERIA,-0.0016422156356263574,0.9983591320626326
categorical__rpsr_cod_HP|SDY|UF,-0.0016484201725695292,0.9983529377257316
categorical__reporter_country_BOLIVIA,-0.0016894262677539344,0.9983120000094934
categorical__reporter_country_INDIA,-0.0016970488028280745,0.9983043903702608
categorical__reporter_country_SLOVENIA,-0.0017222829616222678,0.998279199316588
categorical__occr_country_LU,-0.001735614308176728,0.9982658909993329
categorical__reporter_country_A1,-0.0018002155909240599,0.998201403825251
categorical__reporter_country_MALAYSIA,-0.0018756100475470642,0.9981261478097881
categorical__reporter_country_ARGENTINA,-0.0018971570979906887,0.9981046413670331
categorical__reporter_country_EL SALVADOR,-0.0019915007994651505,0.9980104809225001
categorical__reporter_country_PORTUGAL,-0.0020068415590912543,0.9979951708010426
categorical__reporter_country_QA,-0.0020107204084648593,0.9979912997356072
categorical__reporter_country_PHILIPPINES,-0.0020454676909770104,0.9979566228524378
categorical__rpsr_cod_CSM|HP|UF,-0.002072605892279514,0.9979295404722008
categorical__rpsr_cod_CSM|SDY,-0.0021733660985895423,0.9978289939514492
categorical__rpsr_cod_FGN|OTH|SDY,-0.002177192270112005,0.9978251760938721
categorical__reporter_country_LV,-0.002212870208170715,0.9977895763841119
categorical__occr_country_LV,-0.002212870208170715,0.9977895763841119
categorical__rpsr_cod_HP|LIT|OTH,-0.0022411690270940617,0.997761340517089
categorical__rpsr_cod_CR|FGN|HP|SDY,-0.0022447770586415325,0.9977577405691899
categorical__occr_country_VN,-0.0022638521730209598,0.9977387084076865
categorical__rpsr_cod_CSM|FGN|HP,-0.0023395533403024935,0.9976631812815999
categorical__reporter_country_LU,-0.0023457915246289716,0.9976569576941913
categorical__reporter_country_TURKEY,-0.0023621421851577023,0.99764064547731
categorical__occr_country_AE,-0.002502966575495353,0.99750016323353
categorical__reporter_country_SINGAPORE,-0.002530526197938919,0.9974726728844574
categorical__occr_country_UA,-0.002564669120425672,0.9974386168336943
categorical__reporter_country_GUATEMALA,-0.002618238003855098,0.9973851865918132
categorical__reporter_country_UY,-0.0027236119236680074,0.9972800937422587
categorical__occr_country_UY,-0.0027236119236680074,0.9972800937422587
categorical__reporter_country_VN,-0.0027428979045610313,0.9972608604028932
categorical__rpsr_cod_CSM|OTH,-0.002764127057373709,0.9972396896244132
categorical__reporter_country_IE,-0.0028223409010268716,0.9971816381587526
categorical__reporter_country_TN,-0.0028864294946854187,0.9971177322377831
categorical__occr_country_MA,-0.0029374845997879565,0.9970668255866973
categorical__occr_country_EE,-0.0029750209090688455,0.9970294000803704
categorical__reporter_country_CR,-0.002979734783551214,0.9970247002200006
categorical__rpsr_cod_DT|FGN|HP,-0.003082587030438623,0.996922159262755
categorical__reporter_country_RUSSIAN FEDERATION,-0.0030829333417294697,0.996921814017415
categorical__reporter_country_UA,-0.003084171613183249,0.9969205795583553
categorical__reporter_country_PERU,-0.0033623932351217896,0.9966432532786392
categorical__reporter_country_EE,-0.003410091107427453,0.9965957166497171
categorical__reporter_country_GT,-0.0035753084708682213,0.9964310753341724
categorical__occr_country_TN,-0.0036358424920426794,0.9963707591799673
categorical__reporter_country_KW,-0.0037237099572150416,0.9962832144532093
categorical__occr_country_CR,-0.0038621010520335317,0.9961453472684272
categorical__rpsr_cod_CR|CSM,-0.0038927868977619465,0.9961147801749688
categorical__reporter_country_JAMAICA,-0.0039599030982355055,0.9960479269791792
categorical__occr_country_CH,-0.004118461645346194,0.9958900075870903
categorical__rpsr_cod_DT|HP|SDY,-0.004155084879172638,0.9958535355423432
categorical__occr_country_GT,-0.00416157535786865,0.9958470719971623
bool__multiple_zdrug,-0.00421058110747236,0.9957982709606837
categorical__rpsr_cod_LIT,-0.0042284643111201985,0.9957804630566437
categorical__reporter_country_ECUADOR,-0.004257726876663231,0.9957513243919152
categorical__occr_country_KW,-0.004263659467096352,0.9957454170246574
categorical__reporter_country_AE,-0.004286003776321599,0.9957231680297198
categorical__reporter_country_BD,-0.004363163167093217,0.9956463416006758
categorical__reporter_country_NEW ZEALAND,-0.004458843272513481,0.9955510826110179
categorical__occr_country_VE,-0.004587869338089576,0.9954226388582228
categorical__reporter_country_LB,-0.004645720800764829,0.9953650538682888
