feature,odds_ratio
categorical__rpsr_cod_CSM|DT,0.9991505239105861
categorical__occr_country_MK,0.9991492033257421
categorical__reporter_country_MK,0.9991492033257421
categorical__rpsr_cod_DT|HP|OTH|SDY,0.9991171982162496
categorical__occr_country_DO,0.9991055209563164
categorical__reporter_country_DO,0.9991055209563164
categorical__reporter_country_MOROCCO,0.9990908701820462
categorical__occr_country_PY,0.9990883945764988
categorical__reporter_country_PY,0.9990883945764988
categorical__rpsr_cod_CR|FGN|HP|OTH|SDY,0.9990769507870962
categorical__rpsr_cod_CR|HP|OTH,0.9990466263975243
bool__is_zaleplon,0.9989943390713961
categorical__reporter_country_HONG KONG,0.9989633546504676
categorical__reporter_country_UKRAINE,0.9989291337792056
categorical__occr_country_RS,0.9988165306158765
categorical__reporter_country_EGYPT,0.9988096311479541
categorical__occr_country_HN,0.9987394716962743
categorical__rept_cod_5DAY,0.9986790233737098
categorical__rpsr_cod_DT,0.9986572294513157
categorical__reporter_country_CROATIA (LOCAL NAME: HRVATSKA),0.9985763779551582
categorical__reporter_country_FINLAND,0.9985655414673494
categorical__rpsr_cod_CSM|OTH|SDY,0.9985636284100486
categorical__rpsr_cod_CSM|FGN|OTH|SDY,0.9985455910167136
categorical__reporter_country_PUERTO RICO,0.9985015387630414
categorical__reporter_country_PA,0.9984814354613464
categorical__occr_country_DZ,0.9984757927324279
categorical__rpsr_cod_CSM|HP|OTH|SDY,0.9984561142995051
categorical__rpsr_cod_CR|CSM|HP|OTH,0.9984011986782189
categorical__rpsr_cod_FGN|SDY,0.9983731342293298
categorical__reporter_country_ALGERIA,0.9983591320626326
categorical__rpsr_cod_HP|SDY|UF,0.9983529377257316
categorical__reporter_country_BOLIVIA,0.9983120000094934
categorical__reporter_country_INDIA,0.9983043903702608
categorical__reporter_country_SLOVENIA,0.998279199316588
categorical__occr_country_LU,0.9982658909993329
categorical__reporter_country_A1,0.998201403825251
categorical__reporter_country_MALAYSIA,0.9981261478097881
categorical__reporter_country_ARGENTINA,0.9981046413670331
categorical__reporter_country_EL SALVADOR,0.9980104809225001
categorical__reporter_country_PORTUGAL,0.9979951708010426
categorical__reporter_country_QA,0.9979912997356072
categorical__reporter_country_PHILIPPINES,0.9979566228524378
categorical__rpsr_cod_CSM|HP|UF,0.9979295404722008
categorical__rpsr_cod_CSM|SDY,0.9978289939514492
categorical__rpsr_cod_FGN|OTH|SDY,0.9978251760938721
categorical__reporter_country_LV,0.9977895763841119
categorical__occr_country_LV,0.9977895763841119
categorical__rpsr_cod_HP|LIT|OTH,0.997761340517089
categorical__rpsr_cod_CR|FGN|HP|SDY,0.9977577405691899
categorical__occr_country_VN,0.9977387084076865
categorical__rpsr_cod_CSM|FGN|HP,0.9976631812815999
categorical__reporter_country_LU,0.9976569576941913
categorical__reporter_country_TURKEY,0.99764064547731
categorical__occr_country_AE,0.99750016323353
categorical__reporter_country_SINGAPORE,0.9974726728844574
categorical__occr_country_UA,0.9974386168336943
categorical__reporter_country_GUATEMALA,0.9973851865918132
categorical__reporter_country_UY,0.9972800937422587
categorical__occr_country_UY,0.9972800937422587
categorical__reporter_country_VN,0.9972608604028932
categorical__rpsr_cod_CSM|OTH,0.9972396896244132
categorical__reporter_country_IE,0.9971816381587526
categorical__reporter_country_TN,0.9971177322377831
categorical__occr_country_MA,0.9970668255866973
categorical__occr_country_EE,0.9970294000803704
categorical__reporter_country_CR,0.9970247002200006
categorical__rpsr_cod_DT|FGN|HP,0.996922159262755
categorical__reporter_country_RUSSIAN FEDERATION,0.996921814017415
categorical__reporter_country_UA,0.9969205795583553
categorical__reporter_country_PERU,0.9966432532786392
categorical__reporter_country_EE,0.9965957166497171
