feature,odds_ratio
categorical__occr_country_HK,1.001061550130824
categorical__reporter_country_ECUADOR,1.0005752928704605
categorical__reporter_country_SYRIAN ARAB REPUBLIC,0.9999024017240987
categorical__rpsr_cod_CSM|HP|LIT,0.9998710300365413
categorical__occr_country_AS,0.999832296368111
categorical__reporter_country_SY,0.9998190454156197
categorical__occr_country_SY,0.9998190454156197
categorical__occr_country_MN,0.999814307797133
categorical__reporter_country_MN,0.999814307797133
categorical__rpsr_cod_CSM|DT|HP|OTH,0.9998023642459525
bool__indi_soc_hepatobiliary_disorders,0.9998020343244148
categorical__rpsr_cod_CSM|FGN|UF,0.9998009491470682
categorical__reporter_country_MM,0.9997678066853994
categorical__occr_country_MM,0.9997678066853994
categorical__occr_country_ZW,0.9997674360890039
categorical__reporter_country_ZW,0.9997674360890039
categorical__occr_country_VI,0.9997495379902065
categorical__reporter_country_VI,0.9997495379902065
categorical__reporter_country_NEPAL,0.9997467612969142
categorical__reporter_country_BM,0.9997453506046904
categorical__occr_country_BM,0.9997453506046904
categorical__reporter_country_SH,0.9997312338990793
categorical__occr_country_SH,0.9997312338990793
categorical__reporter_country_CM,0.9997289105113263
categorical__rpsr_cod_DT|OTH,0.9997185824596451
categorical__occr_country_BN,0.9997169922116954
categorical__reporter_country_BN,0.9997169922116954
categorical__reporter_country_GREENLAND,0.9997111619229444
categorical__occr_country_MU,0.9996977384274357
categorical__rpsr_cod_CR|FGN|HP|LIT|SDY,0.9996960083792039
categorical__reporter_country_CI,0.9996934165433308
categorical__occr_country_CI,0.9996934165433308
categorical__reporter_country_GABON,0.9996867065752675
categorical__reporter_country_AD,0.9996827605650297
categorical__reporter_country_LY,0.9996807506517837
categorical__occr_country_LY,0.9996807506517837
categorical__occr_country_KH,0.9996789654538961
categorical__reporter_country_KH,0.9996789654538961
categorical__reporter_country_AZ,0.9996725525704272
categorical__occr_country_AZ,0.9996725525704272
categorical__occr_country_GP,0.9996642540560386
categorical__reporter_country_GP,0.9996642540560386
categorical__reporter_country_SX,0.9996572828313831
categorical__rpsr_cod_CSM|FGN|HP|OTH|SDY,0.9996423152232232
categorical__rpsr_cod_CR|HP|LIT|OTH|SDY,0.9996419731971533
categorical__reporter_country_CAMEROON,0.9996265280843505
categorical__rpsr_cod_CR|CSM|FGN|HP|LIT,0.999611774924289
categorical__reporter_country_BL,0.9995959709557674
categorical__rpsr_cod_CR|DT,0.9995942391252604
categorical__occr_country_ET,0.9995918734356344
categorical__occr_country_SN,0.9995875757864577
categorical__reporter_country_SN,0.9995875757864577
categorical__reporter_country_MQ,0.9995745223640539
categorical__rpsr_cod_CSM|FGN|HP|LIT,0.9995715655118902
categorical__reporter_country_BH,0.999547453535461
categorical__occr_country_BH,0.999547453535461
categorical__occr_country_TZ,0.9995450339147225
categorical__reporter_country_TZ,0.9995450339147225
categorical__reporter_country_UGANDA,0.99953806307279
categorical__rpsr_cod_CSM|DT|FGN|OTH,0.9995158051985581
categorical__reporter_country_WS,0.9995110532527475
categorical__rpsr_cod_CSM|UF,0.9994753765341181
categorical__rpsr_cod_CSM|DT|OTH|SDY,0.999458129303553
categorical__rpsr_cod_CR|FGN|LIT|OTH,0.9994430750526853
categorical__rpsr_cod_CSM|LIT|OTH,0.9994180534861498
categorical__reporter_country_EU,0.9994160547245119
categorical__reporter_country_ET,0.9994058870884054
categorical__rpsr_cod_CSM|FGN|HP|SDY,0.9993939455523546
categorical__rpsr_cod_DT|FGN|LIT|SDY,0.9993899052943083
categorical__rpsr_cod_CR|FGN|SDY,0.9993787964282281
categorical__reporter_country_AS,0.9993776093341569
categorical__rpsr_cod_DT|FGN|HP|UF,0.9993538360408603
categorical__rpsr_cod_CR|HP|LIT,0.9993455005898615
categorical__rpsr_cod_CR|CSM|HP|UF,0.9993297748459359
categorical__reporter_country_MO,0.9992998934034693
categorical__occr_country_MO,0.9992998934034693
categorical__reporter_country_CONGO,0.999286470292629
categorical__occr_country_EU,0.9992731448753064
categorical__reporter_country_BW,0.9992592269732723
categorical__occr_country_BW,0.9992592269732723
categorical__occr_country_AL,0.9992513212454566
categorical__reporter_country_ER,0.9992490322624211
categorical__occr_country_ER,0.9992490322624211
categorical__rpsr_cod_CSM|HP|OTH|UF,0.9992410208828252
categorical__reporter_country_IRAQ,0.9992409913749973
categorical__reporter_country_FAROE ISLANDS,0.9992407873651615
categorical__reporter_country_MC,0.9992346591028313
categorical__occr_country_MC,0.9992346591028313
categorical__rpsr_cod_CR|LIT,0.9992092363290134
"categorical__reporter_country_KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",0.9992086072485391
categorical__occr_country_UG,0.9992014563506694
categorical__reporter_country_LS,0.999199904097535
categorical__rpsr_cod_CR|DT|HP|SDY,0.9991614795533642
categorical__occr_country_SI,0.9991546334965734
categorical__reporter_country_NEW CALEDONIA,0.9991528716972161
categorical__reporter_country_MU,0.9991477634340558
categorical__rpsr_cod_CR|DT|HP|UF,0.9991287310417127
categorical__reporter_country_PS,0.9991244407265325
categorical__occr_country_PS,0.9991244407265325
categorical__rpsr_cod_CSM|LIT,0.9991029596252315
categorical__reporter_country_JORDAN,0.9990815821021513
categorical__reporter_country_BI,0.9990697663055278
categorical__rpsr_cod_FGN|LIT|SDY,0.9990695402575014
categorical__reporter_country_SAMOA,0.9990669682314205
categorical__occr_country_MD,0.9990520551131645
categorical__reporter_country_AL,0.999050664302271
categorical__rpsr_cod_FGN|HP|OTH|UF,0.9990478270951617
categorical__reporter_country_BOSNIA AND HERZEGOWINA,0.9990345326385952
categorical__rpsr_cod_CR|CSM|OTH|SDY,0.99903175940586
