analysis_tier,analysis,comparison,outcome_name,outcome_definition,feature_domain,feature_name,feature_label,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,raw_signal_detected,stability_status,is_stable_signal,conclusion,fdr_q_value,fdr_significant
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_antiepileptic=True,Antiepileptic co-report,151,652,919,6289,8011,803,7208,0.18804483188044832,0.12749722530521643,1.5848765329078687,1.310544936236086,1.91663296321308,1.474893523606389,1.261987239257671,1.7237186227458494,22.367653976449603,2.2513396781829905e-06,107.25377605792036,0.49157936656870893,0.2521916797076432,0.7123958600464538,1.3994918287616722,1.2221753997349902,1.5965403488342156,False,True,True,False,True,stable,True,signal_detected,4.502679356365981e-06,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,age_group=65-74,Age 65-74,123,1968,351,1872,4314,2091,2223,0.058823529411764705,0.15789473684210525,0.3333333333333333,0.2688744025396374,0.41324540403109267,0.37254901960784315,0.30608702171398766,0.45344219834467586,107.12258043895493,4.184688222634073e-25,229.7482614742698,-0.8986792212518544,-1.1650229746898255,-0.655125190654922,0.5352167621521933,0.46054328166728375,0.6191464631036774,False,False,False,False,False,stable,False,no_stable_signal,1.841262817958992e-24,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,age_group=75-84,Age 75-84,208,1302,266,2538,4314,1510,2804,0.13774834437086092,0.09486447931526391,1.524271508263747,1.2563229204986919,1.849368178352086,1.4520539759996014,1.2246970217814617,1.721618254733121,18.019100893483085,2.1869955677742668e-05,165.91098748261473,0.32529669139671086,0.12249596495071181,0.5146089952017939,1.249170009620465,1.1131835286086003,1.3979557352588803,False,True,True,False,True,stable,True,signal_detected,3.701069422387221e-05,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,age_group=>=85,Age >=85,143,570,331,3270,4314,713,3601,0.2005610098176718,0.09191891141349626,2.478454444267769,1.9982339889359886,3.0740826481394774,2.1819341279560005,1.8244573353615363,2.6094534777354497,70.71910374205004,4.1188465991640155e-17,78.34075104311543,0.8640373121165001,0.6177827171248651,1.0906836809735871,1.8086580788716204,1.5735469920845528,2.0706912716120036,True,True,True,False,True,stable,True,signal_detected,1.2944946454515477e-16,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,sex_clean=F,Female,330,2309,144,1531,4314,2639,1675,0.12504736642667677,0.08597014925373134,1.519507001587989,1.2364571890428229,1.8673525847363208,1.4545440191991916,1.2077545853238223,1.7517617647635582,15.601175316749666,7.820596262811515e-05,289.9596662030598,0.18631242964802897,0.0264057619671,0.33771332075354793,1.1358967048057298,1.0367544040068988,1.2423822600485026,False,True,True,False,True,stable,True,signal_detected,0.00011470207852123555,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,sex_clean=M,Male,144,1531,330,2309,4314,1675,2639,0.08597014925373134,0.12504736642667677,0.6581081883498605,0.5355175065351705,0.8087623323005052,0.6875006784260516,0.5708538798567588,0.8279827807334557,15.601175316749666,7.820596262811515e-05,184.0403337969402,-0.3528666786238039,-0.5982309333290171,-0.1269747310956027,0.7809123847943192,0.679732497565514,0.8936358476424798,False,False,False,False,False,stable,False,no_stable_signal,0.00011470207852123555,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,medication_burden,polypharmacy_5=True,Polypharmacy >=5,213,1078,261,2762,4314,1291,3023,0.16498838109992253,0.08633807476017201,2.0909517411980465,1.7219052341504266,2.5390939624945674,1.9109573795596393,1.6140737784653747,2.262448070970742,56.41706161411616,5.861950976126548e-14,141.84840055632824,0.5848097869687281,0.38448187103423703,0.7719655181334555,1.494592829376366,1.333719133577655,1.6704218961196238,False,True,True,False,True,stable,True,signal_detected,1.6120365184348006e-13,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_benzo=True,Benzodiazepine co-report,54,399,420,3441,4314,453,3861,0.11920529801324503,0.10878010878010878,1.1088077336197637,0.8200174955667101,1.4993028768067036,1.0958372753074739,0.8398040532022668,1.4299280044842573,0.350253589385969,0.5539696143721025,49.773296244784426,0.11646394527043481,-0.2941739478307251,0.47533398781886854,1.0734139501907578,0.8546975884854681,1.3341676427229838,False,False,False,False,False,stable,False,no_stable_signal,0.5803491198183931,False
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_antidepressant=True,Antidepressant co-report,85,467,389,3373,4314,552,3762,0.1539855072463768,0.10340244550770866,1.578224514623231,1.2244088671847655,2.0342817544965297,1.4891863194366826,1.1986871264467982,1.8500873539629201,12.081387929552212,0.0005092767109030937,60.650904033379696,0.4835505927939865,0.16039573722050784,0.7737589729778876,1.386848881775773,1.157088488293812,1.65124519972669,False,True,True,False,True,stable,True,signal_detected,0.0007002554774917538,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_antipsychotic=True,Antipsychotic co-report,19,192,455,3648,4314,211,4103,0.09004739336492891,0.11089446746283207,0.7934065934065934,0.49028646201785714,1.2839310713786913,0.8120097911567106,0.5242229771933105,1.2577851975595904,0.6913358173261483,0.40571039106460616,23.183588317107095,-0.280413557291886,-1.0017837155693168,0.29514850447912755,0.8064202727633845,0.5480845697728992,1.1528164999286798,False,False,False,False,False,stable,False,no_stable_signal,0.4462814301710668,False
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_opioid=True,Opioid co-report,63,363,411,3477,4314,426,3888,0.14788732394366197,0.10570987654320987,1.468239126500573,1.1026159948043257,1.9551014521331413,1.3989924951166854,1.0943421536390838,1.788453451129957,6.558807530221738,0.010436628103711381,46.80667593880389,0.4247128001978505,0.0462924048694483,0.7587297576910694,1.328280096783563,1.075868605532276,1.6253453916186482,False,True,True,False,True,stable,True,signal_detected,0.013506224604802964,True
exploratory,sensitivity_ps_only,feature_positive_vs_feature_negative_among_zolpidem_primary_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_antiepileptic=True,Antiepileptic co-report,21,171,453,3669,4314,192,4122,0.109375,0.1098981077147016,0.9946555129545719,0.6256524925521445,1.5812924926027796,0.9952400662251656,0.6585890617609853,1.5039769819003532,0.0,1.0,21.09596662030598,-0.006425232192672903,-0.68931644276735,0.5443690621196398,0.9731159404976325,0.6740478385201658,1.368595627012649,False,False,False,False,False,stable,False,no_stable_signal,1.0,False
