section,analysis_tier,analysis,outcome_name,n_cases,n_outcome,n_exposed,n_zolpidem_exposed_cases,model,model_label,n_terms,requested_covariates,used_covariates,optimization_success,optimization_message,comparison,exposure,n_exposed_outcome,status,skip_reason,outcome_definition,adjusted_ror,ci_low,ci_high,p_value,period_token,signal_file,feature_file,n_rows,n_columns
sensitivity_adjusted_qc,,age_75_84,fall_event,1446122.0,54134.0,2672.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Age 75-84,is_zolpidem_suspect,426.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,age_85_plus,fall_event,450454.0,24064.0,1288.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Age >=85,is_zolpidem_suspect,321.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,comedication_exclude_benzo,fall_event,4020379.0,123600.0,6404.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Excluding benzodiazepine co-reports,is_zolpidem_suspect,847.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,comedication_exclude_antidepressant,fall_event,3933471.0,116182.0,6006.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Excluding antidepressant co-reports,is_zolpidem_suspect,658.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,comedication_exclude_opioid,fall_event,3937217.0,120753.0,6364.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Excluding opioid co-reports,is_zolpidem_suspect,765.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,comedication_exclude_any_cns,fall_event,3589626.0,99161.0,4177.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Excluding any selected CNS high-risk co-report,is_zolpidem_suspect,448.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,reporting_rept_cod_EXP,fall_event,2470022.0,104758.0,6191.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Report type EXP,is_zolpidem_suspect,927.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,reporting_rept_cod_PER,fall_event,1393441.0,19433.0,1019.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Report type PER,is_zolpidem_suspect,42.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,reporting_rept_cod_DIR,fall_event,282333.0,8228.0,588.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Report type DIR,is_zolpidem_suspect,89.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,reporting_rept_cod_30DAY,fall_event,8536.0,33.0,0.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,,False,skipped,Report type 30DAY,is_zolpidem_suspect,0.0,skipped,exposure_has_no_variation,Fall event,,,,,,,,,
sensitivity_adjusted_qc,,reporting_rept_cod_5DAY,fall_event,341.0,4.0,0.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,,False,skipped,Report type 5DAY,is_zolpidem_suspect,0.0,skipped,exposure_has_no_variation,Fall event,,,,,,,,,
sensitivity_adjusted_qc,,country_top_US,fall_event,2172713.0,61029.0,2455.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Reporter country US,is_zolpidem_suspect,168.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,country_top_UNITED_STATES,fall_event,302568.0,10900.0,729.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Reporter country UNITED STATES,is_zolpidem_suspect,102.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,country_top_JP,fall_event,218116.0,5000.0,293.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Reporter country JP,is_zolpidem_suspect,34.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,country_top_FR,fall_event,165265.0,6314.0,1214.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Reporter country FR,is_zolpidem_suspect,263.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,country_top_CA,fall_event,153330.0,10381.0,102.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Reporter country CA,is_zolpidem_suspect,73.0,fit,,,,,,,,,,,
dataset,,,,,,,,,,,,,,,,,,,,,,,,,2004_2025,D:\program_FAERS\OUTPUT_GLOBAL\datasets\signal_dataset_2004_2025.parquet,D:\program_FAERS\OUTPUT_GLOBAL\datasets\drug_feature_2004_2025_case.parquet,4155023.0,20.0
