feature,importance
categorical__reporter_country_AUSTRALIA,0.0012721153
categorical__reporter_country_RO,0.0012711212
categorical__distinct_drug_n_bucket_10-19,0.0012690953
bool__indi_dizziness_vertigo,0.001267311
categorical__reporter_country_TURKEY,0.0012619817
categorical__reporter_country_LB,0.0012592117
bool__is_antiepileptic,0.0012520073
bool__indi_depression,0.0012410987
categorical__rpsr_cod_CSM|OTH,0.0012321443
categorical__rpsr_cod_FGN|HP|LIT|OTH,0.0012179551
categorical__occr_country_BE,0.001203102
categorical__rpsr_cod_CR|FGN|HP,0.0011888631
categorical__rpsr_cod_FGN|OTH|SDY,0.0011849401
categorical__rpsr_cod_CSM|HP|SDY,0.0011776458
categorical__reporter_country_ID,0.0011721333
categorical__reporter_country_EG,0.0011707172
categorical__cns_coprescription_bucket_1,0.0011614889
categorical__reporter_country_SWEDEN,0.0011546243
categorical__reporter_country_unknown,0.0011540848
categorical__quarter_Q4,0.0011530137
numeric__indi_unmapped_n,0.0011427412
categorical__occr_country_HU,0.0011384692
categorical__reporter_country_SOUTH AFRICA,0.0011198071
categorical__reporter_country_CZ,0.0011168026
categorical__rpsr_cod_HP|OTH,0.0011165203
categorical__occr_country_HK,0.0011076364
categorical__rpsr_cod_FGN|OTH,0.0011009161
categorical__reporter_country_COLOMBIA,0.0010937032
categorical__reporter_country_POLAND,0.0010926131
categorical__distinct_drug_n_bucket_2,0.0010895596
categorical__rpsr_cod_FGN|HP|OTH,0.0010859674
categorical__reporter_country_PERU,0.0010827804
categorical__occr_country_ZA,0.0010814393
bool__is_zaleplon,0.0010796686
categorical__rpsr_cod_CSM|SDY,0.0010719271
numeric__ps_drug_n,0.0010687484
categorical__reporter_country_BY,0.0010625103
categorical__drug_n_bucket_3-4,0.0010604705
categorical__distinct_drug_n_bucket_5-9,0.0010594205
categorical__occr_country_UY,0.0010571476
categorical__reporter_country_VN,0.0010559085
categorical__reporter_country_HK,0.0010468664
categorical__rpsr_cod_FGN|HP,0.0010451404
categorical__reporter_country_AUSTRIA,0.001034017
categorical__occr_country_GT,0.0010321412
categorical__reporter_country_NORWAY,0.0010300755
categorical__reporter_country_TW,0.0010270874
categorical__quarter_Q3,0.0010204397
categorical__reporter_country_ECUADOR,0.0010188001
categorical__reporter_country_MX,0.0010171863
categorical__drug_n_bucket_2,0.0010119416
categorical__reporter_country_CL,0.0010113032
categorical__reporter_country_DENMARK,0.0009948235
categorical__reporter_country_PHILIPPINES,0.0009891132
categorical__drug_n_bucket_5-9,0.0009878941
"categorical__reporter_country_TAIWAN, PROVINCE OF CHINA",0.00097439525
categorical__rpsr_cod_CSM|FGN|OTH,0.0009724022
categorical__reporter_country_AE,0.000967667
categorical__quarter_Q1,0.00096054183
categorical__reporter_country_NETHERLANDS,0.0009469804
categorical__reporter_country_ISRAEL,0.0009311644
categorical__reporter_country_HU,0.0009297941
categorical__rpsr_cod_FGN,0.00092448597
categorical__rpsr_cod_CSM|FGN|HP,0.0009184294
