year,analysis,outcome_name,outcome_definition,conclusion,a,b,c,d,n,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,ic,ic025,ic975,ebgm,eb05,eb95,chi_square_yates,expected_a,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm
2009,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,30,172,2188,52809,55199,4.209722163173335,2.849794930613871,6.218609100864445,3.733030752801057,2.676398790529216,5.206816955182861,1.8235949761512371,1.2610371235480915,2.293334727831566,3.3456434786535465,2.461900714102803,4.463273279295003,58.90733155761506,8.116741245312415,True,True,True,True
2009,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,16,103,2202,52881,55202,3.730483320547076,2.199280914997414,6.327752725893269,3.3633595127424263,2.128115447923237,5.315589068720021,1.6434778782782289,0.8505499982501155,2.2637110909923384,2.854424085091074,1.873623856150036,4.203350029155135,25.088284914192464,4.781384732437231,True,True,True,False
2010,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,33,195,3869,98783,102880,4.3207865280235405,2.983530328941333,6.257417945328627,3.840146372651712,2.7967666115706566,5.2727761059434215,1.872709840298775,1.3383462655840197,2.322625690886406,3.472526883286252,2.592390400550348,4.573726754355716,68.53809824438171,8.64751166407465,True,True,True,True
2010,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,23,111,3879,98870,102883,5.281406696719921,3.366958966432055,8.284406484976065,4.546538383103815,3.1302818976654527,6.603562217336586,2.0737650416888367,1.4239587037776136,2.6028288321123974,3.864049543339028,2.7209141496999907,5.357533761117421,62.12950355623186,5.082161290009039,True,True,True,True
2011,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,30,276,5867,127468,133641,2.361550603597128,1.6186924601120711,3.4453247857618594,2.228065250303292,1.5846480690475728,3.1327301352108847,1.1231291336742095,0.5605712810710639,1.5928688853545383,2.1031859378551023,1.547635005144143,2.8057662622185657,19.87414405694668,13.50245807798505,True,True,True,False
2011,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,19,152,5878,127592,133641,2.713337870023817,1.6829233831820662,4.374650961819163,2.5229669955767267,1.6499759512683412,3.857851658914412,1.277221700467259,0.5558515421898285,1.8527837622382728,2.282155027797139,1.5510695834556,3.2624501891852664,16.659177341060587,7.545491278873998,True,True,True,False
2012,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,51,263,6023,137714,144051,4.433836327032813,3.2813997856090964,5.991011720404168,3.8761113185020055,3.0115035882160788,4.988949378047811,1.9061898741713847,1.4828853739580174,2.274697117271893,3.616628506563671,2.8605244582612013,4.5226074510352845,109.71214364543027,13.240005275909226,True,True,True,True
2012,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,24,153,6052,137823,144052,3.572256133120796,2.321255673351379,5.49746157957476,3.2234756404942475,2.220366617729736,4.679765549476737,1.6209049462015075,0.985988001031418,2.1400547799266763,2.894224966486988,2.0532363909883826,3.986949773463027,35.99787349333919,7.465720711965123,True,True,True,True
2013,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,64,329,5583,151518,157494,5.279352702815266,4.03377665017787,6.90954591139642,4.582460659608708,3.656826722167045,5.742395604792957,2.1442059298673666,1.7689244012489278,2.475774963438743,4.274071999772959,3.4676700143723123,5.22193343311524,180.13831333760064,14.091146329383976,True,True,True,True
2013,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,24,187,5623,151658,157492,3.461520245820023,2.261193477268267,5.299025728084726,3.1815369003239065,2.1811401815929,4.640773267828371,1.6029330673330335,0.9680161221629442,2.1220829010582025,2.860486308696557,2.0293013338450883,3.940472966859504,34.85551249848018,7.565571584588423,True,True,True,True
2014,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,50,369,6231,180564,187214,3.926603541432622,2.919254026971588,5.281560024971841,3.5773668419776543,2.754846932403696,4.645468091729831,1.7945323117873877,1.36674426451204,2.166432943669114,3.353891128252563,2.646458437830279,4.203059181817224,92.67032159230465,14.057383529009584,True,True,True,True
2014,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,21,197,6260,180739,187217,3.0777306563305817,1.96120876886935,4.829891719471553,2.8775822903537827,1.91484516317752,4.324360004135782,1.4602499864458809,0.7773587758712036,2.0110442807581936,2.586310864473385,1.7914589365867537,3.637401867452186,24.62799275784145,7.313748217309326,True,True,True,False
2015,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,65,434,8972,266221,275692,4.444026834123982,3.421349566562192,5.77239306250089,3.995406104228073,3.1820046856084376,5.016733636471871,1.9581567376773767,1.5859387895211274,2.28733196037523,3.773754741547373,3.066754829999695,4.603750177209023,146.76715663017478,16.35688739607968,True,True,True,True
2015,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,23,237,9013,266420,275693,2.8686458987276238,1.8687424246748283,4.403565298047285,2.703342607686334,1.8289973178346528,3.9956653753786537,1.3811971016688358,0.7313907637576125,1.9102608920923965,2.4682450910718807,1.7380426720465,3.422240387400154,23.728502942221912,8.521652707903357,True,True,True,False
2016,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,80,382,9511,267430,277403,5.88857982572948,4.623526969735766,7.499766431765819,5.042072496598835,4.127121238398662,6.159861460920501,2.288858984140601,1.9552406848333452,2.5874784422980635,4.742772843246076,3.9347813148774007,5.6765637541745,262.1337039092324,15.973302379570516,True,True,True,True
2016,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,31,221,9560,267594,277406,3.9263399534258503,2.694596336602062,5.7211335221023,3.5663536893139405,2.563291315409056,4.961932559449822,1.7736690176721983,1.2209845534909112,2.2365039700898315,3.2433406210258524,2.3986794304936394,4.307555210518363,56.485534062643815,8.712616165475874,True,True,True,True
2017,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,32,491,10200,288566,299289,1.843798570344635,1.2887700119960486,2.637858684141498,1.7921703595396092,1.2803978463262506,2.5084973446557437,0.8222901845709899,0.2789909736473798,1.2785244789887111,1.7214513700469125,1.2792627591443213,2.2765934018961245,10.760667790647044,17.88016265215227,False,True,True,False
