dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
demo_v2_2006q3,,,caseid,13825.0,0.0,0.0,0.0
demo_v2_2006q3,,,age_years,13825.0,0.0,0.0,0.0
demo_v2_2006q3,,,age_group,13825.0,0.0,0.0,0.0
demo_v2_2006q3,,,rept_cod,13825.0,0.0,0.0,0.0
demo_v2_2006q3,,,e_sub,13825.0,0.0,0.0,0.0
demo_v2_2006q3,,,reporter_country,13825.0,0.0,0.0,0.0
demo_v2_2006q3,,,occr_country,13825.0,0.0,0.0,0.0
demo_v2_2006q3,,,event_date_known,13825.0,0.0,0.0,0.0
demo_v2_2006q4,n_rows,14111.0,,,,,
demo_v2_2006q4,unique_caseid,14111.0,,,,,
demo_v2_2006q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2006q4,,,caseid,14111.0,0.0,0.0,0.0
demo_v2_2006q4,,,age_years,14111.0,0.0,0.0,0.0
demo_v2_2006q4,,,age_group,14111.0,0.0,0.0,0.0
demo_v2_2006q4,,,rept_cod,14111.0,0.0,0.0,0.0
demo_v2_2006q4,,,e_sub,14111.0,0.0,0.0,0.0
demo_v2_2006q4,,,reporter_country,14111.0,0.0,0.0,0.0
demo_v2_2006q4,,,occr_country,14111.0,0.0,0.0,0.0
demo_v2_2006q4,,,event_date_known,14111.0,0.0,0.0,0.0
demo_v2_2007q1,n_rows,15015.0,,,,,
demo_v2_2007q1,unique_caseid,15015.0,,,,,
demo_v2_2007q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2007q1,,,caseid,15015.0,0.0,0.0,0.0
demo_v2_2007q1,,,age_years,15015.0,0.0,0.0,0.0
demo_v2_2007q1,,,age_group,15015.0,0.0,0.0,0.0
demo_v2_2007q1,,,rept_cod,15015.0,0.0,0.0,0.0
demo_v2_2007q1,,,e_sub,15015.0,0.0,0.0,0.0
demo_v2_2007q1,,,reporter_country,15015.0,0.0,0.0,0.0
demo_v2_2007q1,,,occr_country,15015.0,0.0,0.0,0.0
demo_v2_2007q1,,,event_date_known,15015.0,0.0,0.0,0.0
demo_v2_2007q2,n_rows,13770.0,,,,,
demo_v2_2007q2,unique_caseid,13770.0,,,,,
demo_v2_2007q2,duplicate_caseid_rows,0.0,,,,,
