year,analysis,outcome_name,outcome_definition,conclusion,a,b,c,d,n,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,ic,ic025,ic975,ebgm,eb05,eb95,chi_square_yates,expected_a,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm
2007,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,47,140,1871,55798,57856,10.011857677330688,7.171796861456095,13.97659416287122,7.746845319926717,6.025078035770635,9.96063653525684,2.8258478584697566,2.38372595146846,3.208535106324789,6.597996618210566,5.167214886074419,8.325194184290266,271.85109653641354,6.199287887168142,True,True,True,True
2007,sensitivity_ps_only,strict_fall,Narrow fall definition,signal_detected,32,95,1886,55845,57858,9.973991181559413,6.664213018105408,14.92756906472756,7.712828049197985,5.697040002130782,10.441863931839322,2.786620529959812,2.2433213190362014,3.242854824377533,6.23817082477053,4.635774068419998,8.249886570531745,183.3628519797728,4.210066023713229,True,True,True,True
2007,primary_ps_ss,broad_fall,Broad fall-related definition,signal_detected,52,135,4812,52857,57856,4.231033527292879,3.0685101016155043,5.833985913766943,3.332564311147266,2.6411714349567714,4.204946616089018,1.6944334095414246,1.2754774690236903,2.0596405357749865,3.1397669634953336,2.4890578400308274,3.9181145229572647,89.18830386918786,15.721238938053098,True,True,True,True
2007,sensitivity_ps_only,broad_fall,Broad fall-related definition,signal_detected,34,93,4830,52901,57858,4.004171953961575,2.700477240809938,5.937244274676299,3.199905446601784,2.3969870760672616,4.271777252963558,1.626112135461845,1.1002689975489126,2.069971993343237,2.954725035398941,2.2155070926254363,3.8766016770709615,53.38472696207455,10.676622074734697,True,True,True,True
2008,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,35,146,2165,56277,58623,6.231437248884811,4.2983787324845615,9.033827078411957,5.2198333609789085,3.8653741192105855,7.048906386829349,2.283322594847684,1.7656155540891034,2.7213710440484955,4.555780461852016,3.430346485736613,5.954931378968357,117.7916628774772,6.792555822799925,True,True,True,True
2008,sensitivity_ps_only,strict_fall,Narrow fall definition,signal_detected,18,94,2182,56331,58625,4.943532187920511,2.980222596582676,8.200229916056939,4.309750229147571,2.8169477659552,6.593642687350043,1.975876611956545,1.2327650069466043,2.5651989003514104,3.5560838583964545,2.391310375334891,5.130087810870549,43.79174419139834,4.2029850746268655,True,True,True,True
2008,primary_ps_ss,broad_fall,Broad fall-related definition,signal_detected,44,137,5345,53097,58623,3.190467931691396,2.269076378961552,4.486003960699488,2.6579784897332663,2.052850494428712,3.441482792370038,1.3765498217658243,0.9185904925767024,1.7710464469330538,2.5229184262936664,1.9595018730730756,3.2073065299560484,47.90248871588624,16.638674240485816,True,True,True,False
2008,sensitivity_ps_only,broad_fall,Broad fall-related definition,signal_detected,23,89,5366,53147,58625,2.5595635440790327,1.6169036275089568,4.051797166335524,2.2392960305628025,1.5541896384479326,3.22640596002295,1.1222436575968566,0.472437319685634,1.6513074480204175,2.0806493213414528,1.465112730958824,2.8848359367826157,15.962888024904196,10.295402985074627,True,True,True,False
2009,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,30,172,2186,52811,55199,4.213733270920658,2.852504410165522,6.224547108564648,3.736446151476996,2.678840996664225,5.21159331974983,1.8248209074993456,1.2622630548962,2.2945606591796746,3.3483315387878188,2.463878730351796,4.4668593000551295,58.9986382736093,8.109422272142611,True,True,True,True
2009,sensitivity_ps_only,strict_fall,Narrow fall definition,signal_detected,16,103,2200,52883,55202,3.734015887025596,2.201360217464737,6.333754255183772,3.366417112299465,2.1300464079042265,5.320430640350738,1.6446560977756477,0.8517282177475354,2.2648893104897576,2.8565543458332736,1.875022144290628,4.206486995242129,25.13018439394592,4.777073294445853,True,True,True,False
2009,primary_ps_ss,broad_fall,Broad fall-related definition,signal_detected,36,166,5034,49963,55199,2.1524333328546605,1.4994280006747525,3.08982441991143,1.947049174524127,1.4463110269060857,2.6211516177987684,0.9378330850029633,0.4279055612023126,1.370298509914159,1.8667226008402829,1.4112296352179612,2.4313037325045963,17.10650627130631,18.55359698545264,False,True,True,False
2009,sensitivity_ps_only,broad_fall,Broad fall-related definition,signal_detected,19,100,5051,50032,55202,1.8820194020985943,1.1513982088426382,3.076257199875179,1.7411927748727682,1.1520412226161738,2.631635239912957,0.770712424054832,0.0493422657774015,1.3462744858258455,1.6347829797770337,1.1110823430477583,2.337000763177129,5.786641363591982,10.929495308141007,False,True,True,False
2010,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,33,195,3861,98791,102880,4.330089853166776,2.989946041161529,6.2709085309158406,3.8481031638926377,2.8025524248757114,5.283718451981228,1.875508735600056,1.3411451608853002,2.3254245861876863,3.4789201530105656,2.5971632508747646,4.582147443314712,68.7754820698949,8.629782270606531,True,True,True,True
2010,sensitivity_ps_only,strict_fall,Narrow fall definition,signal_detected,23,111,3871,98878,102883,5.29274973759603,3.3741826301221978,8.302218005256085,4.555934484128055,3.136742492677406,6.617227608617041,2.07646047731581,1.4266541394045875,2.605524267739371,3.870680566809417,2.725583459807227,5.366727725044362,62.32661612955028,5.0717416871592,True,True,True,True
2010,primary_ps_ss,broad_fall,Broad fall-related definition,signal_detected,53,175,9191,93461,102880,3.0796791892690054,2.263192840928105,4.190727249263993,2.596244991763491,2.049083159272665,3.2895141550280407,1.3500900846252657,0.9353542986160852,1.7120861331267454,2.4899933229476936,1.9783500631386768,3.1009707099278803,55.08827488090415,20.48631415241057,True,True,True,False
2010,sensitivity_ps_only,broad_fall,Broad fall-related definition,signal_detected,32,102,9212,93537,102883,3.1855125028734896,2.1402148346562537,4.741341729646101,2.6635990693514624,1.9674877972949585,3.6059994943828144,1.3739195014749557,0.8306202905513457,1.830153795892677,2.4924580528170592,1.852221225169632,3.2962380792618875,34.603822104658896,12.039851092989124,True,True,True,False
2011,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,30,276,5861,127474,133641,2.364079434433952,1.620424377660251,3.449017213863067,2.2303461565482703,1.5862687386484131,3.135940245703976,1.1245453068235078,0.5619874542203624,1.5942850585038368,2.1051801925197786,1.5491024827801778,2.80842670814287,19.927634247493614,13.488719779109704,True,True,True,False
2011,sensitivity_ps_only,strict_fall,Narrow fall definition,signal_detected,19,152,5872,127598,133641,2.7162380790190737,1.6847210364848422,4.37932995560337,2.525544959128065,1.6516605953787653,3.861796641769773,1.278599026976679,0.5572288686992487,1.8541610887476927,2.2842071636027907,1.552464320180536,3.265383815852094,16.69874302403711,7.537813994208364,True,True,True,False
2011,primary_ps_ss,broad_fall,Broad fall-related definition,signal_detected,47,259,12244,121091,133641,1.7946784115519825,1.314577843823848,2.45011781997015,1.6726199627188347,1.2850858998295558,2.1770198708558057,0.7297496810497854,0.2876277740484889,1.1124369289048175,1.6299293681210405,1.2764776615616211,2.0566058580316997,13.217047726450472,28.14290524614452,False,True,True,False
2011,sensitivity_ps_only,broad_fall,Broad fall-related definition,signal_detected,28,143,12263,121207,133641,1.9353208155295736,1.290202192900498,2.9030075128006763,1.78216886912707,1.2695805802205935,2.501712713291344,0.8125729385748267,0.2286253188292127,1.2971351964625069,1.703927904028157,1.2402749680108711,2.295037400785007,9.71835466748437,15.72691763755135,False,True,True,False
2012,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,51,263,6006,137731,144051,4.446935194083483,3.2910841624077625,6.008728930806411,3.8870826625603696,3.02001685667656,5.003088506666443,1.910086029200202,1.4867815289868345,2.27859327230071,3.626064500798149,2.867987733034032,4.534407197057119,110.22543481863332,13.202948955578233,True,True,True,True
