feature,importance
categorical__reporter_country_TUNISIA,0.0
categorical__reporter_country_TT,0.0
categorical__reporter_country_TN,0.0
categorical__reporter_country_THAILAND,0.0
"categorical__reporter_country_TAIWAN, PROVINCE OF CHINA",0.0
categorical__reporter_country_SZ,0.0
categorical__reporter_country_SYRIAN ARAB REPUBLIC,0.0
categorical__reporter_country_SY,0.0
categorical__reporter_country_KW,0.0
categorical__reporter_country_KUWAIT,0.0
categorical__reporter_country_KP,0.0
"categorical__reporter_country_KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",0.0
categorical__reporter_country_KH,0.0
categorical__reporter_country_KG,0.0
categorical__reporter_country_KE,0.0
categorical__reporter_country_JORDAN,0.0
categorical__reporter_country_JO,0.0
categorical__reporter_country_JM,0.0
categorical__reporter_country_JAMAICA,0.0
categorical__reporter_country_VI,0.0
categorical__reporter_country_VENEZUELA,0.0
categorical__reporter_country_UZ,0.0
categorical__reporter_country_UY,0.0
categorical__reporter_country_URUGUAY,0.0
categorical__occr_country_BA,0.0
categorical__occr_country_AZ,0.0
categorical__occr_country_AS,0.0
categorical__occr_country_AM,0.0
categorical__occr_country_AL,0.0
categorical__occr_country_AF,0.0
categorical__occr_country_AE,0.0
categorical__occr_country_A1,0.0
categorical__reporter_country_ZW,0.0
categorical__reporter_country_ZA,0.0
categorical__reporter_country_YUGOSLAVIA,0.0
categorical__reporter_country_WS,0.0
categorical__reporter_country_VN,0.0
categorical__reporter_country_VIET NAM,0.0
categorical__reporter_country_KZ,0.0
categorical__occr_country_CU,0.0
categorical__occr_country_CM,0.0
categorical__occr_country_CI,0.0
categorical__occr_country_BY,0.0
categorical__occr_country_BW,0.0
categorical__occr_country_BO,0.0
categorical__occr_country_BN,0.0
categorical__occr_country_BM,0.0
categorical__occr_country_BH,0.0
categorical__occr_country_BD,0.0
categorical__occr_country_BB,0.0
categorical__reporter_country_IRAQ,0.0
categorical__reporter_country_IRAN (ISLAMIC REPUBLIC OF),0.0
categorical__reporter_country_IR,0.0
categorical__reporter_country_IQ,0.0
categorical__reporter_country_INDONESIA,0.0
categorical__reporter_country_IE,0.0
categorical__reporter_country_ID,0.0
categorical__reporter_country_ICELAND,0.0
categorical__occr_country_ER,0.0
categorical__occr_country_EG,0.0
categorical__occr_country_EE,0.0
categorical__occr_country_DZ,0.0
categorical__occr_country_DO,0.0
categorical__occr_country_CY,0.0
categorical__occr_country_IR,0.0
categorical__occr_country_IQ,0.0
categorical__occr_country_ID,0.0
categorical__occr_country_HN,0.0
categorical__occr_country_HK,0.0
categorical__occr_country_GT,0.0
categorical__occr_country_GP,0.0
categorical__occr_country_GH,0.0
categorical__occr_country_GE,0.0
categorical__occr_country_EU,0.0
categorical__occr_country_ET,0.0
categorical__reporter_country_IS,0.0
categorical__occr_country_LY,0.0
categorical__occr_country_LV,0.0
categorical__occr_country_LU,0.0
categorical__occr_country_LT,0.0
categorical__occr_country_LS,0.0
categorical__occr_country_LK,0.0
categorical__occr_country_LB,0.0
categorical__occr_country_KZ,0.0
categorical__occr_country_KW,0.0
categorical__occr_country_KP,0.0
categorical__occr_country_KH,0.0
categorical__occr_country_KG,0.0
categorical__occr_country_KE,0.0
categorical__occr_country_JO,0.0
categorical__occr_country_JM,0.0
categorical__occr_country_IS,0.0
categorical__reporter_country_HN,0.0
categorical__reporter_country_HK,0.0
categorical__reporter_country_GUATEMALA,0.0
categorical__reporter_country_GT,0.0
categorical__reporter_country_GREENLAND,0.0
categorical__reporter_country_GP,0.0
categorical__reporter_country_GH,0.0
categorical__reporter_country_GE,0.0
categorical__occr_country_MO,0.0
categorical__occr_country_MN,0.0
categorical__occr_country_MM,0.0
categorical__occr_country_MK,0.0
categorical__occr_country_ME,0.0
categorical__occr_country_MD,0.0
categorical__occr_country_MC,0.0
categorical__occr_country_MA,0.0
categorical__occr_country_PS,0.0
categorical__occr_country_PR,0.0
categorical__occr_country_PK,0.0
categorical__occr_country_PA,0.0
categorical__occr_country_OM,0.0
categorical__occr_country_NZ,0.0
categorical__occr_country_NP,0.0
categorical__occr_country_NI,0.0
categorical__occr_country_NG,0.0
categorical__occr_country_NC,0.0
categorical__occr_country_MU,0.0
categorical__occr_country_MT,0.0
categorical__reporter_country_HUNGARY,0.0
categorical__reporter_country_HONG KONG,0.0
categorical__reporter_country_HONDURAS,0.0
categorical__occr_country_TZ,0.0
categorical__occr_country_TT,0.0
categorical__occr_country_TN,0.0
categorical__occr_country_SY,0.0
categorical__occr_country_SV,0.0
categorical__occr_country_SN,0.0
categorical__reporter_country_BULGARIA,0.0
categorical__occr_country_SI,0.0
categorical__occr_country_SH,0.0
categorical__occr_country_SD,0.0
categorical__occr_country_SA,0.0
categorical__reporter_country_AF,0.0
categorical__occr_country_RS,0.0
categorical__occr_country_RO,0.0
categorical__occr_country_QA,0.0
categorical__occr_country_PY,0.0
categorical__rpsr_cod_CR|CSM|FGN|HP|OTH,0.0
categorical__rpsr_cod_CR|CSM|FGN|HP|LIT,0.0
categorical__rpsr_cod_CR|CSM|FGN|HP,0.0
categorical__rpsr_cod_CR|CSM|FGN,0.0
categorical__rpsr_cod_CR|CSM,0.0
categorical__rpsr_cod_CR,0.0
categorical__reporter_country_AE,0.0
categorical__occr_country_ZW,0.0
categorical__occr_country_ZA,0.0
categorical__occr_country_VN,0.0
categorical__occr_country_VI,0.0
categorical__occr_country_UZ,0.0
categorical__occr_country_UY,0.0
categorical__occr_country_UM,0.0
categorical__occr_country_UG,0.0
categorical__occr_country_UA,0.0
categorical__rpsr_cod_CR|FGN|HP|LIT|SDY,0.0
categorical__rpsr_cod_CR|FGN|HP|LIT|OTH,0.0
categorical__rpsr_cod_CR|FGN|HP|LIT,0.0
categorical__rpsr_cod_CR|FGN|HP,0.0
categorical__rpsr_cod_CR|FGN,0.0
categorical__rpsr_cod_CR|DT|HP|UF,0.0
categorical__rpsr_cod_CR|DT|HP|SDY,0.0
categorical__rpsr_cod_CR|DT|HP,0.0
categorical__rpsr_cod_CR|DT,0.0
categorical__rpsr_cod_CR|CSM|SDY,0.0
categorical__rpsr_cod_CR|CSM|OTH|SDY,0.0
categorical__rpsr_cod_CR|CSM|OTH,0.0
categorical__rpsr_cod_CR|CSM|HP|UF,0.0
categorical__rpsr_cod_CR|CSM|HP|OTH,0.0
categorical__rpsr_cod_CR|CSM|HP,0.0
categorical__rpsr_cod_CR|CSM|FGN|OTH,0.0
categorical__rpsr_cod_CR|FGN|OTH,0.0
categorical__reporter_country_GD,0.0
categorical__reporter_country_GABON,0.0
categorical__reporter_country_AD,0.0
categorical__reporter_country_FAROE ISLANDS,0.0
categorical__reporter_country_EUROPEAN UNION,0.0
categorical__reporter_country_EU,0.0
categorical__reporter_country_ET,0.0
categorical__reporter_country_ESTONIA,0.0
categorical__reporter_country_ER,0.0
categorical__reporter_country_EL SALVADOR,0.0
categorical__reporter_country_EGYPT,0.0
categorical__rpsr_cod_CR|FGN|LIT|OTH,0.0
categorical__rpsr_cod_CR|FGN|HP|UF,0.0
categorical__rpsr_cod_CR|FGN|HP|SDY,0.0
categorical__rpsr_cod_CR|FGN|HP|OTH|SDY,0.0
categorical__rpsr_cod_CSM|DT|OTH|SDY,0.0
categorical__rpsr_cod_CSM|DT|OTH,0.0
categorical__rpsr_cod_CSM|DT|HP|OTH,0.0
categorical__rpsr_cod_CSM|DT|HP,0.0
categorical__rpsr_cod_CSM|DT|FGN|OTH,0.0
categorical__rpsr_cod_CSM|DT,0.0
categorical__rpsr_cod_CR|OTH,0.0
categorical__rpsr_cod_CR|LIT,0.0
categorical__rpsr_cod_CR|HP|UF,0.0
categorical__rpsr_cod_CR|HP|SDY,0.0
categorical__rpsr_cod_CR|HP|OTH,0.0
categorical__rpsr_cod_CR|HP|LIT|UF,0.0
categorical__rpsr_cod_CR|HP|LIT|OTH|SDY,0.0
categorical__rpsr_cod_CR|HP|LIT,0.0
categorical__rpsr_cod_CR|HP,0.0
categorical__rpsr_cod_CR|FGN|SDY,0.0
categorical__rpsr_cod_CSM|HP|UF,0.0
categorical__rpsr_cod_CSM|HP|SDY,0.0
categorical__rpsr_cod_CSM|HP|OTH|UF,0.0
categorical__rpsr_cod_CSM|HP|OTH|SDY,0.0
categorical__rpsr_cod_CSM|HP|LIT,0.0
categorical__reporter_country_A1,0.0
categorical__rpsr_cod_CSM|FGN|UF,0.0
categorical__rpsr_cod_CSM|FGN|SDY,0.0
categorical__rpsr_cod_CSM|FGN|OTH|SDY,0.0
categorical__rpsr_cod_CSM|FGN|OTH,0.0
categorical__rpsr_cod_CSM|FGN|HP|SDY,0.0
categorical__rpsr_cod_CSM|FGN|HP|OTH|SDY,0.0
categorical__rpsr_cod_CSM|FGN|HP|OTH,0.0
categorical__rpsr_cod_CSM|FGN|HP|LIT,0.0
categorical__rpsr_cod_CSM|FGN|HP,0.0
categorical__rpsr_cod_CSM|FGN,0.0
categorical__rpsr_cod_DT|FGN|LIT|SDY,0.0
categorical__rpsr_cod_DT|FGN|LIT,0.0
categorical__rpsr_cod_DT|FGN|HP|UF,0.0
categorical__rpsr_cod_DT|FGN|HP|SDY,0.0
categorical__rpsr_cod_DT|FGN|HP|OTH|SDY,0.0
categorical__rpsr_cod_DT|FGN|HP|OTH,0.0
categorical__rpsr_cod_DT|FGN|HP|LIT,0.0
categorical__rpsr_cod_DT|FGN|HP,0.0
categorical__rpsr_cod_DT|FGN,0.0
categorical__rpsr_cod_DT,0.0
categorical__rpsr_cod_CSM|UF,0.0
categorical__rept_cod_5DAY,0.0
categorical__rpsr_cod_CSM|OTH|SDY,0.0
categorical__rpsr_cod_CSM|OTH,0.0
categorical__rpsr_cod_CSM|LIT|OTH,0.0
categorical__reporter_country_BD,0.0
categorical__rpsr_cod_FGN|HP|OTH|UF,0.0
categorical__reporter_country_BB,0.0
categorical__rpsr_cod_FGN|HP|LIT|SDY,0.0
categorical__rpsr_cod_FGN|HP|LIT|OTH|SDY,0.0
categorical__reporter_country_BANGLADESH,0.0
categorical__rpsr_cod_DT|SDY,0.0
categorical__rpsr_cod_DT|OTH|SDY,0.0
categorical__rpsr_cod_DT|OTH,0.0
