event_name,event_year,period_label,start_year,end_year,interpretation_scope,analysis,comparison,exposure_definition,outcome_name,outcome_definition,zolpidem_cases,zolpidem_fall_cases,zolpidem_fall_reporting_rate,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,stability_status
2019_fda_boxed_warning,2019,pre_2019,2004,2018,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,Narrow fall definition,2510,298,0.11872509960159362,298,2212,67491,1925926,1995927,2510,1993417,0.11872509960159362,0.033856940118399716,3.844367300677931,3.405594504347229,4.339671068782903,3.5066695096014273,3.151322527944458,3.9020858514248036,547.7281106777322,3.928440739597979e-121,85.2488041897324,1.7995424740607644,1.6310355875204663,1.958631019612489,3.46091916741168,3.143667680740622,3.8029425210298125,True,True,True,True,stable
2019_fda_boxed_warning,2019,post_2019,2019,2025,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,Narrow fall definition,1804,167,0.09257206208425721,167,1637,64307,2092195,2158306,1804,2156502,0.09257206208425721,0.02982005117546842,3.3190340045596223,2.8299602814579807,3.892629446285975,3.1043562447140256,2.6861990547263352,3.587607432568608,242.7617033918612,9.829806257570132e-55,53.889993355900415,1.622747940889333,1.3955481260842004,1.8331530296718213,3.051562562028376,2.6828883438795024,3.4591539760896293,True,True,True,True,stable
2023_ags_beers_criteria,2023,pre_2023,2004,2022,exploratory,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,Narrow fall definition,3573,416,0.11642877134061014,416,3157,105180,3108921,3217674,3573,3214101,0.11642877134061014,0.03272454723731457,3.8948906449525595,3.515735248986164,4.3149361546816145,3.557842083995307,3.249916292733448,3.894943486067896,785.1930191729632,8.94134316826207e-173,117.25690918346606,1.8225047856271228,1.6804960674269462,1.9577650191994693,3.5219937922930216,3.247076123360306,3.8149795921254497,True,True,True,True,stable
2023_ags_beers_criteria,2023,post_2023,2023,2025,exploratory,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,Narrow fall definition,741,49,0.06612685560053981,49,692,26618,909200,936559,741,935818,0.06612685560053981,0.028443564881205533,2.4186553755401294,1.8097917196096351,3.2323574929887307,2.3248441563748576,1.7732430717451506,3.048031280963106,36.65825547219313,1.4076164100014946e-09,21.098774343100647,1.1964790785118664,0.7640654350979383,1.5718708926566263,2.239981318843876,1.7632078583884734,2.8133260124180675,True,True,True,False,stable
2013_fda_dose_reduction,2013,pre_2013,2004,2012,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,broad_fall,Broad fall-related definition,969,192,0.19814241486068113,192,777,51767,560736,613472,969,612503,0.19814241486068113,0.08451713705892053,2.6766134236916783,2.28492327000988,3.1354485789168356,2.344405191133575,2.0649366902433197,2.6616969547702745,159.6600883089521,1.3425034960842251e-36,82.07101709613478,1.2211510644885217,1.0097839160881334,1.417907297866631,2.3172969728605,2.0552467357952944,2.6050634817259706,True,True,True,True,stable
2013_fda_dose_reduction,2013,post_2013,2013,2025,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,broad_fall,Broad fall-related definition,3345,469,0.14020926756352764,469,2876,246462,3290954,3540761,3345,3537416,0.14020926756352764,0.0696728911725395,2.1774881714338425,1.9748272727821925,2.4009465547102775,2.012393417352386,1.8502454541631335,2.188751366523371,255.20195790985198,1.9072674820889486e-57,233.27872030899573,1.005981543244205,0.8724218159141246,1.1335549794584219,2.0040236182253217,1.8564124003863887,2.1607552570490363,True,True,True,False,stable
2019_fda_boxed_warning,2019,pre_2019,2004,2018,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,broad_fall,Broad fall-related definition,2510,403,0.1605577689243028,403,2107,153219,1840198,1995927,2510,1993417,0.1605577689243028,0.07686249289536509,2.2971663259124897,2.0647012701831216,2.5558046605154963,2.0888961947002453,1.9099034272998252,2.284663847324551,245.99771664893308,1.936427419630014e-55,193.18903947889876,1.0588263568196894,0.9144906214829078,1.1961960567943781,2.077872697376736,1.9131720871844407,2.2535763493523278,True,True,True,False,stable
2019_fda_boxed_warning,2019,post_2019,2019,2025,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,broad_fall,Broad fall-related definition,1804,258,0.14301552106430154,258,1546,145010,2011492,2158306,1804,2156502,0.14301552106430154,0.06724315581436975,2.314891144144674,2.028793983461231,2.641333251638085,2.1268413020219876,1.899454074205815,2.381449483519571,163.64906841760535,1.8047836815477699e-37,121.42090695202627,1.084218740556279,0.9027427709279802,1.254817652554827,2.1115687477079326,1.9041614411905565,2.336427884207079,True,True,True,False,stable
2023_ags_beers_criteria,2023,pre_2023,2004,2022,exploratory,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,broad_fall,Broad fall-related definition,3573,559,0.15645116148894486,559,3014,237902,2976199,3217674,3573,3214101,0.15645116148894486,0.0740182091353072,2.32023745514992,2.119781546025453,2.5396493607440505,2.1136847718505063,1.9585334676329935,2.281126867927444,352.24104177801104,1.3776071708980623e-78,264.79411929238324,1.076545435136557,0.9544389053823386,1.1936290231028266,2.105012992615335,1.962618324133335,2.255446853874799,True,True,True,False,stable
2023_ags_beers_criteria,2023,post_2023,2023,2025,exploratory,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,broad_fall,Broad fall-related definition,741,102,0.13765182186234817,102,639,60327,875491,936559,741,935818,0.13765182186234817,0.06446445783261275,2.3165371573126774,1.879349855634094,2.855425978895075,2.1353134190591105,1.7828809764657947,2.557413230496369,64.49875656523507,9.659328798069874e-16,47.811071165831514,1.0851981636779255,0.7914996390729439,1.3514270902987116,2.0999417560385822,1.7802128099330776,2.463423413743227,True,True,True,False,stable
