,DYSARTHRIA,MOTOR DYSFUNCTION,FATIGUE,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,COUGH,CONFUSIONAL STATE,NAUSEA,PAIN,ANXIETY,MALAISE,HEADACHE,MUSCULAR WEAKNESS,VOMITING,PYREXIA,DIZZINESS,HYPOTENSION,SYNCOPE,HYPONATRAEMIA,COGNITIVE DISORDER,DRUG INTERACTION,HEAD INJURY
EATING DISORDER,0.8536727838149992,0.8407901894936387,0.8903878133115637,0.8179724394837778,0.91163311772652,0.9177555750379947,0.950896283888048,0.9501043713420733,0.9712987453374025,0.9712987453374025,0.0,0.9783661795493205,0.963926256861368,0.9710433548992962,0.9710433548992962,0.9710433548992962,0.9710433548992962,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.8905587061990204,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.8973973290645076,0.9191940901166145,0.52849216214508,0.7106632353716373,0.7517743311663354,0.7554741790053355,0.782731764633641,0.8407901894936387,0.8327855018199688,0.8881882077811565,0.893898834358587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYSTITIS,0.8601486306071312,0.847185875619063,0.8970443633639709,0.8241504872454061,0.9183798235641797,0.924533260916834,0.9578586341341415,0.9570472517481861,0.9783661795493205,0.9783661795493205,0.9783661795493205,0.0,0.9709404526477697,0.9780944336434382,0.9780944336434382,0.9780944336434382,0.9780944336434382,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.8971015351755357,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.9039752282076131,0.9259000935206497,0.5245686943553227,0.7164601004245545,0.7577526118985307,0.7614691774727452,0.7888517366498169,0.847185875619063,0.8391246366173734,0.8948171782003703,0.900556347793657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NASOPHARYNGITIS,0.8601486306071312,0.847185875619063,0.8970443633639709,0.8241504872454061,0.9183798235641797,0.924533260916834,0.9436774688307086,0.9570472517481861,0.9783661795493205,0.963926256861368,0.963926256861368,0.9709404526477697,0.0,0.9780944336434382,0.9780944336434382,0.9780944336434382,0.9780944336434382,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.8971015351755357,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.985393016497928,0.9039752282076131,0.9109912222007573,0.5154525038390951,0.7164601004245545,0.7577526118985307,0.7614691774727452,0.8010922203025141,0.8601486306071312,0.8391246366173734,0.8948171782003703,0.9141898168141431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSCLE SPASTICITY,0.8537069950850507,0.8537069950850507,0.8903277629801514,0.8304500077016459,0.9252601587839483,0.931445292635987,0.9506887060664776,0.9641282825330749,0.9710433548992962,0.9855744629385524,0.9710433548992962,0.9780944336434382,0.9780944336434382,0.0,0.9852861414366177,0.9852861414366177,0.9852861414366177,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.903774299287525,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.910683868639995,0.9177365958568048,0.5206237453395955,0.722367924290227,0.7638463262552938,0.7675800172194209,0.8074083560572656,0.8537069950850507,0.8455880653675678,0.9015770457803691,0.9073454221947765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSORIASIS,0.8537069950850507,0.8537069950850507,0.8903277629801514,0.8304500077016459,0.9252601587839483,0.931445292635987,0.9506887060664776,0.9641282825330749,0.9710433548992962,0.9710433548992962,0.9710433548992962,0.9780944336434382,0.9780944336434382,0.9852861414366177,0.0,0.9852861414366177,0.9852861414366177,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.903774299287525,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.910683868639995,0.9177365958568048,0.5206237453395955,0.722367924290227,0.7638463262552938,0.7675800172194209,0.7950905760903069,0.8537069950850507,0.8455880653675678,0.9015770457803691,0.9073454221947765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKIN EXFOLIATION,0.8537069950850507,0.8537069950850507,0.8903277629801514,0.8304500077016459,0.9252601587839483,0.931445292635987,0.9506887060664776,0.9641282825330749,0.9710433548992962,0.9710433548992962,0.9710433548992962,0.9780944336434382,0.9780944336434382,0.9852861414366177,0.9852861414366177,0.0,0.9852861414366177,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.903774299287525,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.910683868639995,0.9177365958568048,0.5206237453395955,0.722367924290227,0.7638463262552938,0.7675800172194209,0.7950905760903069,0.8537069950850507,0.8455880653675678,0.9015770457803691,0.9073454221947765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNEEZING,0.8537069950850507,0.8537069950850507,0.903832275728646,0.8304500077016459,0.9252601587839483,0.931445292635987,0.9506887060664776,0.9641282825330749,0.9710433548992962,0.9710433548992962,0.9710433548992962,0.9780944336434382,0.9780944336434382,0.9852861414366177,0.9852861414366177,0.9852861414366177,0.0,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.918582470145578,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.910683868639995,0.932739613848963,0.5206237453395955,0.722367924290227,0.7638463262552938,0.7795612458560321,0.7950905760903069,0.8537069950850507,0.8455880653675678,0.9015770457803691,0.9073454221947765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADJUSTMENT DISORDER,0.8603578619903393,0.8603578619903393,0.8971649982661825,0.8368751799687153,0.9322787246538932,0.9384962965431443,0.9578412301238324,0.9713522231683216,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.985393016497928,0.985393016497928,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9105814739688979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.917527753998279,0.9246180675321002,0.5258893585629263,0.7283905122506155,0.7700594371124985,0.7738106754629624,0.8014523665668419,0.8603578619903393,0.8521800628597996,0.9084723161156562,0.9142705864056044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAROTID ARTERY THROMBOSIS,0.8603578619903393,0.8603578619903393,0.8971649982661825,0.8368751799687153,0.9322787246538932,0.9384962965431443,0.9578412301238324,0.9713522231683216,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.985393016497928,0.985393016497928,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9105814739688979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.917527753998279,0.9246180675321002,0.5258893585629263,0.7283905122506155,0.7700594371124985,0.7738106754629624,0.8014523665668419,0.8603578619903393,0.8521800628597996,0.9084723161156562,0.9142705864056044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEMIPARESIS,0.8603578619903393,0.8603578619903393,0.8971649982661825,0.8368751799687153,0.9322787246538932,0.9384962965431443,0.9578412301238324,0.9713522231683216,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.985393016497928,0.985393016497928,0.9926233244358432,0.9926233244358432,0.9926233244358432,0.9926233244358432,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9105814739688979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.917527753998279,0.9246180675321002,0.5258893585629263,0.7283905122506155,0.7700594371124985,0.7738106754629624,0.8014523665668419,0.8603578619903393,0.8521800628597996,0.9084723161156562,0.9142705864056044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
