,DYSARTHRIA,MOTOR DYSFUNCTION,FATIGUE,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,COUGH,CONFUSIONAL STATE,NAUSEA,PAIN,ANXIETY,MALAISE,HEADACHE,MUSCULAR WEAKNESS,VOMITING,PYREXIA,DIZZINESS,HYPOTENSION,SYNCOPE,HYPONATRAEMIA,COGNITIVE DISORDER,DRUG INTERACTION,HEAD INJURY
EATING DISORDER,10.839859649122808,10.691368421052632,11.702121212121211,11.083809523809524,12.386341463414634,12.539259259259259,13.202393162393163,13.364210526315789,13.730488888888889,13.730488888888889,0.0,13.916036036036036,13.725405405405406,13.913424657534247,13.913424657534247,13.913424657534247,13.913424657534247,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,12.931111111111111,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,13.113239436619718,13.502095238095238,4.723499245852187,7.935,8.755862068965516,8.832,9.404444444444444,10.691368421052632,10.655035460992908,11.810232558139536,11.949176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYSTITIS,10.986344238975818,10.835846372688478,11.860257985257986,11.233590733590734,12.553724456163481,12.70870870870871,13.380803880803882,13.544807965860597,13.916036036036036,13.916036036036036,13.916036036036036,0.0,13.910883856829804,14.101443909663088,14.101443909663088,14.101443909663088,14.101443909663088,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,13.105855855855856,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,13.290445374952418,13.684555984555985,4.722636663813135,8.04222972972973,8.874184529356944,8.95135135135135,9.531531531531531,10.835846372688478,10.799022426682,11.969830295411692,12.110651828298888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NASOPHARYNGITIS,10.986344238975818,10.835846372688478,11.860257985257986,11.233590733590734,12.553724456163481,12.70870870870871,13.197505197505198,13.544807965860597,13.916036036036036,13.725405405405406,13.725405405405406,13.910883856829804,0.0,14.101443909663088,14.101443909663088,14.101443909663088,14.101443909663088,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,13.105855855855856,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,14.297297297297296,13.290445374952418,13.48030888030888,4.657943010884187,8.04222972972973,8.874184529356944,8.95135135135135,9.663913913913914,10.986344238975818,10.799022426682,11.969830295411692,12.278855325914149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSCLE SPASTICITY,10.984282624369142,10.984282624369142,11.858032378580324,11.38747553816047,12.725693284330104,12.882800608828006,13.378292939936776,13.730353280461427,13.913424657534247,14.106666666666667,13.913424657534247,14.101443909663088,14.101443909663088,0.0,14.294614374179021,14.294614374179021,14.294614374179021,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,13.285388127853881,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,13.47250627049971,13.664970645792563,4.72175044938945,8.152397260273972,8.99574870099197,9.073972602739726,9.796296296296296,10.984282624369142,10.946954240746138,12.13380057343103,12.27655116841257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSORIASIS,10.984282624369142,10.984282624369142,11.858032378580324,11.38747553816047,12.725693284330104,12.882800608828006,13.378292939936776,13.730353280461427,13.913424657534247,13.913424657534247,13.913424657534247,14.101443909663088,14.101443909663088,14.294614374179021,0.0,14.294614374179021,14.294614374179021,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,13.285388127853881,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,13.47250627049971,13.664970645792563,4.72175044938945,8.152397260273972,8.99574870099197,9.073972602739726,9.662100456621005,10.984282624369142,10.946954240746138,12.13380057343103,12.27655116841257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKIN EXFOLIATION,10.984282624369142,10.984282624369142,11.858032378580324,11.38747553816047,12.725693284330104,12.882800608828006,13.378292939936776,13.730353280461427,13.913424657534247,13.913424657534247,13.913424657534247,14.101443909663088,14.101443909663088,14.294614374179021,14.294614374179021,0.0,14.294614374179021,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,13.285388127853881,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,13.47250627049971,13.664970645792563,4.72175044938945,8.152397260273972,8.99574870099197,9.073972602739726,9.662100456621005,10.984282624369142,10.946954240746138,12.13380057343103,12.27655116841257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNEEZING,10.984282624369142,10.984282624369142,12.022727272727273,11.38747553816047,12.725693284330104,12.882800608828006,13.378292939936776,13.730353280461427,13.913424657534247,13.913424657534247,13.913424657534247,14.101443909663088,14.101443909663088,14.294614374179021,14.294614374179021,14.294614374179021,0.0,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,13.486681887366819,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,13.47250627049971,13.8720156555773,4.72175044938945,8.152397260273972,8.99574870099197,9.2,9.662100456621005,10.984282624369142,10.946954240746138,12.13380057343103,12.27655116841257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADJUSTMENT DISORDER,11.136842105263158,11.136842105263158,12.022727272727273,11.545634920634921,12.902439024390244,13.061728395061728,13.564102564102564,13.921052631578947,14.106666666666667,14.106666666666667,14.106666666666667,14.297297297297296,14.297297297297296,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,0.0,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,13.469907407407407,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,13.65962441314554,13.854761904761904,4.787330316742081,8.265625,9.120689655172415,9.2,9.796296296296296,11.136842105263158,11.098995271867611,12.30232558139535,12.447058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAROTID ARTERY THROMBOSIS,11.136842105263158,11.136842105263158,12.022727272727273,11.545634920634921,12.902439024390244,13.061728395061728,13.564102564102564,13.921052631578947,14.106666666666667,14.106666666666667,14.106666666666667,14.297297297297296,14.297297297297296,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.694444444444445,0.0,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,13.469907407407407,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,13.65962441314554,13.854761904761904,4.787330316742081,8.265625,9.120689655172415,9.2,9.796296296296296,11.136842105263158,11.098995271867611,12.30232558139535,12.447058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEMIPARESIS,11.136842105263158,11.136842105263158,12.022727272727273,11.545634920634921,12.902439024390244,13.061728395061728,13.564102564102564,13.921052631578947,14.106666666666667,14.106666666666667,14.106666666666667,14.297297297297296,14.297297297297296,14.493150684931507,14.493150684931507,14.493150684931507,14.493150684931507,14.694444444444445,14.694444444444445,0.0,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,13.469907407407407,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,14.694444444444445,13.65962441314554,13.854761904761904,4.787330316742081,8.265625,9.120689655172415,9.2,9.796296296296296,11.136842105263158,11.098995271867611,12.30232558139535,12.447058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
