,DYSARTHRIA,MOTOR DYSFUNCTION,FATIGUE,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,COUGH,CONFUSIONAL STATE,NAUSEA,PAIN,ANXIETY,MALAISE,HEADACHE,MUSCULAR WEAKNESS,VOMITING,PYREXIA,DIZZINESS,HYPOTENSION,SYNCOPE,HYPONATRAEMIA,COGNITIVE DISORDER,DRUG INTERACTION,HEAD INJURY
COUGH,0.6836734693877551,0.6666666666666666,0.7555555555555555,0.75,0.7674418604651163,0.7764705882352941,0.8271604938271605,0.825,0.8589743589743589,0.8589743589743589,0.8589743589743589,0.8701298701298701,0.8461538461538461,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.881578947368421,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.8933333333333333,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.88,0.0,0.29910714285714285,0.5,0.55,0.5677966101694916,0.5892857142857143,0.6666666666666666,0.673469387755102,0.7333333333333333,0.7415730337078652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONFUSIONAL STATE,0.3277310924369748,0.29508196721311475,0.33189655172413796,0.2815126050420168,0.37104072398190047,0.31877729257641924,0.3288888888888889,0.32589285714285715,0.3273542600896861,0.3273542600896861,0.3333333333333333,0.32882882882882886,0.32286995515695066,0.32432432432432434,0.32432432432432434,0.32432432432432434,0.32432432432432434,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.2907488986784141,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.2920353982300885,0.29910714285714285,0.0,0.3423076923076923,0.2862595419847328,0.3603238866396761,0.30039525691699603,0.31666666666666665,0.3070539419087137,0.31196581196581197,0.33043478260869563,0.06501547987616099,0.013029315960912053,0.0,0.06934306569343066,0.08582089552238806,0.05054151624548736,0.02768166089965398
NAUSEA,0.4768211920529801,0.664179104477612,0.5319148936170213,0.5939849624060151,0.640625,0.5367647058823529,0.5373134328358209,0.5454545454545454,0.549618320610687,0.5615384615384615,0.549618320610687,0.5538461538461539,0.5538461538461539,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5503875968992248,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.49624060150375937,0.5,0.3423076923076923,0.0,0.49693251533742333,0.6308724832214765,0.4936708860759494,0.5928571428571429,0.5416666666666666,0.6335877862595419,0.5661764705882353,0.16744186046511628,0.14136125654450263,0.11891891891891893,0.2345679012345679,0.24528301886792453,0.15789473684210525,0.0
PAIN,0.5179856115107914,0.5401459854014599,0.5692307692307692,0.4925373134328358,0.5714285714285714,0.5887096774193549,0.5901639344262295,0.6,0.6050420168067226,0.6050420168067226,0.6050420168067226,0.6101694915254238,0.6101694915254238,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6068376068376068,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.5583333333333333,0.55,0.2862595419847328,0.49693251533742333,0.0,0.65,0.5342465753424658,0.6356589147286822,0.5789473684210527,0.6422764227642277,0.6209677419354839,0.0391304347826087,0.024875621890547265,0.015625,0.03296703296703297,0.03333333333333333,0.02197802197802198,0.02127659574468085
ANXIETY,0.5441176470588235,0.5328467153284672,0.6111111111111112,0.49624060150375937,0.7130434782608696,0.5806451612903226,0.6218487394957983,0.6186440677966102,0.6101694915254238,0.6101694915254238,0.6101694915254238,0.6153846153846154,0.6153846153846154,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6347826086956522,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.55,0.5677966101694916,0.3603238866396761,0.6308724832214765,0.65,0.0,0.5273972602739726,0.5909090909090909,0.5954198473282443,0.6341463414634146,0.6260162601626016,0.07692307692307693,0.025,0.0,0.11976047904191617,0.12121212121212122,0.06936416184971098,0.0
MALAISE,0.5984251968503937,0.5615384615384615,0.6065573770491803,0.5238095238095238,0.6101694915254238,0.6434782608695652,0.631578947368421,0.6428571428571429,0.6636363636363637,0.6636363636363637,0.6486486486486487,0.6545454545454545,0.6697247706422018,0.6759259259259259,0.6605504587155964,0.6605504587155964,0.6605504587155964,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6513761467889908,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.584070796460177,0.5892857142857143,0.30039525691699603,0.4936708860759494,0.5342465753424658,0.5273972602739726,0.0,0.6370967741935484,0.6031746031746031,0.6581196581196581,0.6637931034482759,0.04524886877828054,0.047619047619047616,0.0,0.034482758620689655,0.028901734104046242,0.0,0.022222222222222223
HEADACHE,0.6379310344827587,0.6239316239316239,0.7102803738317757,0.584070796460177,0.6857142857142857,0.6923076923076923,0.7128712871287128,0.7272727272727273,0.7525773195876289,0.7346938775510204,0.7346938775510204,0.7422680412371134,0.7604166666666666,0.75,0.75,0.75,0.75,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7395833333333334,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.6938775510204082,0.6666666666666666,0.31666666666666665,0.5928571428571429,0.6356589147286822,0.5909090909090909,0.6370967741935484,0.0,0.6875,0.81,0.7475728155339806,0.05314009661835749,0.027777777777777776,0.0,0.030864197530864196,0.03125,0.0,0.0
MUSCULAR WEAKNESS,0.6016949152542372,0.6293103448275862,0.7009345794392523,0.6181818181818182,0.6761904761904762,0.7156862745098039,0.7029702970297029,0.7171717171717171,0.7244897959183674,0.7244897959183674,0.7244897959183674,0.7319587628865979,0.7319587628865979,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.6666666666666666,0.673469387755102,0.3070539419087137,0.5416666666666666,0.5789473684210527,0.5954198473282443,0.6031746031746031,0.6875,0.0,0.7475728155339806,0.7378640776699029,0.06372549019607843,0.033707865168539325,0.0,0.0375,0.0379746835443038,0.0379746835443038,0.017964071856287425
VOMITING,0.6605504587155964,0.6759259259259259,0.74,0.6346153846153846,0.75,0.7578947368421053,0.782608695652174,0.8,0.8089887640449438,0.8295454545454546,0.8089887640449438,0.8181818181818182,0.8181818181818182,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8160919540229885,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.7252747252747253,0.7333333333333333,0.31196581196581197,0.6335877862595419,0.6422764227642277,0.6341463414634146,0.6581196581196581,0.81,0.7475728155339806,0.0,0.8191489361702128,0.024509803921568627,0.029239766081871343,0.0,0.046357615894039736,0.033112582781456956,0.0196078431372549,0.0
PYREXIA,0.6666666666666666,0.6822429906542056,0.7474747474747475,0.6407766990291263,0.7578947368421053,0.7659574468085106,0.7912087912087912,0.8295454545454546,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8275862068965517,0.8488372093023255,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8255813953488372,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.7528089887640449,0.7415730337078652,0.33043478260869563,0.5661764705882353,0.6209677419354839,0.6260162601626016,0.6637931034482759,0.7475728155339806,0.7378640776699029,0.8191489361702128,0.0,0.024630541871921183,0.041666666666666664,0.0,0.03289473684210526,0.03333333333333333,0.0,0.025477707006369428
