,FALL,CONFUSIONAL STATE,NAUSEA,DIZZINESS,PAIN,ANXIETY,MALAISE,DYSARTHRIA,HEADACHE,MOTOR DYSFUNCTION,MUSCULAR WEAKNESS,HYPOTENSION,FATIGUE,VOMITING,PYREXIA,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,SYNCOPE,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,HYPONATRAEMIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,HEAD INJURY,COUGH,DRUG INTERACTION
MUSCULAR WEAKNESS,0.09012464046021093,0.3135593220338983,0.5416666666666666,0.06403940886699508,0.5789473684210527,0.5954198473282443,0.6031746031746031,0.6016949152542372,0.6875,0.6293103448275862,0.0,0.033707865168539325,0.7009345794392523,0.7475728155339806,0.7378640776699029,0.6181818181818182,0.6761904761904762,0.7156862745098039,0.7029702970297029,0.0,0.7171717171717171,0.7244897959183674,0.7244897959183674,0.7244897959183674,0.7319587628865979,0.7319587628865979,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.0375,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.6666666666666666,0.018518518518518517,0.673469387755102,0.0379746835443038
HYPOTENSION,0.0862895493767977,0.013245033112582781,0.14136125654450263,0.15846994535519127,0.024875621890547265,0.025,0.047619047619047616,0.0,0.027777777777777776,0.10778443113772455,0.033707865168539325,0.0,0.0,0.029239766081871343,0.041666666666666664,0.10126582278481013,0.0,0.0,0.0,0.22627737226277372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2366412213740458,0.0,0.0,0.0,0.03184713375796178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189873417721519,0.0,0.1510791366906475
FATIGUE,0.08437200383509108,0.3392070484581498,0.5319148936170213,0.014492753623188406,0.5692307692307692,0.6111111111111112,0.6065573770491803,0.6944444444444444,0.7102803738317757,0.6486486486486487,0.7009345794392523,0.0,0.0,0.74,0.7474747474747475,0.6226415094339622,0.7346938775510204,0.7422680412371134,0.7849462365591398,0.0,0.782608695652174,0.8314606741573034,0.8111111111111111,0.8111111111111111,0.8202247191011236,0.8202247191011236,0.8089887640449438,0.8089887640449438,0.8089887640449438,0.8295454545454546,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.01910828025477707,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7391304347826086,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7282608695652174,0.025806451612903226,0.7555555555555555,0.0
VOMITING,0.08245445829338446,0.31877729257641924,0.6335877862595419,0.024630541871921183,0.6422764227642277,0.6341463414634146,0.6581196581196581,0.6605504587155964,0.81,0.6759259259259259,0.7475728155339806,0.029239766081871343,0.74,0.0,0.8191489361702128,0.6346153846153846,0.75,0.7578947368421053,0.782608695652174,0.0,0.8,0.8089887640449438,0.8295454545454546,0.8089887640449438,0.8181818181818182,0.8181818181818182,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.046357615894039736,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8160919540229885,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.7252747252747253,0.0,0.7333333333333333,0.0196078431372549
PYREXIA,0.08149568552253116,0.3377777777777778,0.5661764705882353,0.024752475247524754,0.6209677419354839,0.6260162601626016,0.6637931034482759,0.6666666666666666,0.7475728155339806,0.6822429906542056,0.7378640776699029,0.041666666666666664,0.7474747474747475,0.8191489361702128,0.0,0.6407766990291263,0.7578947368421053,0.7659574468085106,0.7912087912087912,0.0,0.8295454545454546,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8275862068965517,0.8488372093023255,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.03289473684210526,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8255813953488372,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.7528089887640449,0.02631578947368421,0.7415730337078652,0.0
GASTROINTESTINAL DISORDER,0.08053691275167785,0.2875536480686695,0.5939849624060151,0.06735751295336788,0.4925373134328358,0.49624060150375937,0.5238095238095238,0.584070796460177,0.584070796460177,0.7722772277227723,0.6181818181818182,0.10126582278481013,0.6226415094339622,0.6346153846153846,0.6407766990291263,0.0,0.66,0.7010309278350515,0.6875,0.087248322147651,0.7021276595744681,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.717391304347826,0.717391304347826,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.09090909090909091,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7415730337078652,0.0,0.75,0.06944444444444445
AFFECT LABILITY,0.07861936720997123,0.37962962962962965,0.640625,0.046153846153846156,0.5714285714285714,0.7130434782608696,0.6101694915254238,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6761904761904762,0.0,0.7346938775510204,0.75,0.7578947368421053,0.66,0.0,0.7912087912087912,0.8181818181818182,0.0,0.8372093023255814,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8571428571428571,0.8571428571428571,0.8674698795180723,0.8674698795180723,0.8674698795180723,0.8674698795180723,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.06944444444444445,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.75,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.7586206896551724,0.0,0.7674418604651163,0.06293706293706294
PNEUMONIA,0.07766059443911794,0.32589285714285715,0.5367647058823529,0.0,0.5887096774193549,0.5806451612903226,0.6434782608695652,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7156862745098039,0.0,0.7422680412371134,0.7578947368421053,0.7659574468085106,0.7010309278350515,0.7912087912087912,0.0,0.8275862068965517,0.0,0.8470588235294118,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8674698795180723,0.8674698795180723,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7586206896551724,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7674418604651163,0.0,0.7764705882352941,0.02027027027027027
COORDINATION ABNORMAL,0.07478427612655801,0.33636363636363636,0.5373134328358209,0.0,0.5901639344262295,0.6218487394957983,0.631578947368421,0.7835051546391752,0.7128712871287128,0.7128712871287128,0.7029702970297029,0.0,0.7849462365591398,0.782608695652174,0.7912087912087912,0.6875,0.8181818181818182,0.8275862068965517,0.0,0.0,0.8780487804878049,0.9125,0.9125,0.9125,0.9240506329113924,0.9,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7857142857142857,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7951807228915663,0.0,0.8271604938271605,0.0
SYNCOPE,0.07478427612655801,0.0,0.11956521739130435,0.20481927710843373,0.015706806282722512,0.0,0.0,0.07453416149068323,0.0,0.11612903225806452,0.0,0.22627737226277372,0.0,0.0,0.0,0.087248322147651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28695652173913044
