,FALL,CONFUSIONAL STATE,NAUSEA,DIZZINESS,PAIN,ANXIETY,MALAISE,DYSARTHRIA,HEADACHE,MOTOR DYSFUNCTION,MUSCULAR WEAKNESS,HYPOTENSION,FATIGUE,VOMITING,PYREXIA,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,SYNCOPE,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,HYPONATRAEMIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,HEAD INJURY,COUGH,DRUG INTERACTION
PNEUMONIA,1.0,4.351794695930498,7.343653549382716,0.0,8.103341847594722,8.061835748792271,8.822816643804298,9.75906432748538,9.75906432748538,9.75906432748538,9.99986866298923,0.0,10.535353535353535,10.780361757105943,10.90718954248366,10.423868312757202,11.306233062330623,0.0,11.886039886039885,0.0,12.198830409356725,12.361481481481482,12.361481481481482,12.361481481481482,12.528528528528529,12.528528528528529,12.700152207001523,12.700152207001523,12.700152207001523,12.700152207001523,12.876543209876543,12.876543209876543,12.876543209876543,12.876543209876543,0.0,12.876543209876543,12.876543209876543,12.876543209876543,11.803497942386832,12.876543209876543,12.876543209876543,12.876543209876543,12.876543209876543,12.876543209876543,12.876543209876543,12.876543209876543,11.969744392279603,0.0,12.14074074074074,0.5518518518518518
COORDINATION ABNORMAL,1.0,4.581077872744539,7.521634615384615,0.0,8.29973474801061,8.604459308807135,8.914529914529915,10.697435897435897,10.134412955465587,10.134412955465587,10.099972722313147,0.0,11.092511655011656,11.194991055456171,11.326696832579186,10.506410256410257,11.74108818011257,11.886039886039885,0.0,0.0,12.668016194331983,13.015213675213674,13.015213675213674,13.015213675213674,13.19109494109494,13.01039501039501,13.188619599578503,13.188619599578503,13.188619599578503,13.188619599578503,13.371794871794872,13.371794871794872,13.371794871794872,13.371794871794872,0.0,13.371794871794872,13.371794871794872,13.371794871794872,12.257478632478632,13.371794871794872,13.371794871794872,13.371794871794872,13.371794871794872,13.371794871794872,13.371794871794872,13.371794871794872,12.43011917659805,0.0,12.798717948717949,0.0
SYNCOPE,1.0,0.0,2.2982772435897436,3.726565783942833,0.3458222811671088,0.0,0.0,1.6890688259109312,0.0,2.5336032388663967,0.0,4.605840455840456,0.0,0.0,0.0,2.0694444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085826210826211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.303846153846154
APHASIA,1.0,4.638096978557505,7.719572368421052,0.0,8.51814882032668,8.711556064073227,9.149122807017545,10.401108033240996,10.401108033240996,10.401108033240996,10.365761478163494,0.0,11.22846889952153,11.489596083231334,11.786222910216718,10.782894736842104,12.050064184852374,12.198830409356725,12.668016194331983,0.0,0.0,13.174736842105263,13.174736842105263,13.174736842105263,13.352773826458037,13.352773826458037,13.535688536409516,13.535688536409516,13.535688536409516,13.535688536409516,13.723684210526315,13.723684210526315,13.723684210526315,13.723684210526315,0.0,13.723684210526315,13.723684210526315,13.723684210526315,12.580043859649123,13.723684210526315,13.723684210526315,13.723684210526315,13.723684210526315,13.723684210526315,13.723684210526315,13.723684210526315,12.75722757598221,0.0,12.939473684210526,0.0
CEREBROVASCULAR ACCIDENT,1.0,4.699938271604938,7.8225,0.0,8.631724137931034,8.706782608695653,9.399876543209876,10.832561403508771,10.686175438596491,10.53978947368421,10.503971631205674,0.0,11.694242424242423,11.64279069767442,11.779764705882354,10.926666666666666,12.210731707317073,12.361481481481482,13.015213675213674,0.0,13.174736842105263,0.0,13.535822222222222,13.535822222222222,13.71873873873874,13.71873873873874,13.716164383561644,13.716164383561644,13.716164383561644,13.716164383561644,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,0.0,13.906666666666666,13.906666666666666,13.906666666666666,12.747777777777777,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,12.927323943661971,0.0,13.310666666666666,0.0
DYSPHAGIA,1.0,4.699938271604938,7.931145833333333,0.0,8.631724137931034,8.706782608695653,9.399876543209876,10.686175438596491,10.53978947368421,10.53978947368421,10.503971631205674,0.0,11.536212121212122,11.804496124031008,11.779764705882354,10.926666666666666,12.210731707317073,12.361481481481482,13.015213675213674,0.0,13.174736842105263,13.535822222222222,0.0,13.535822222222222,13.71873873873874,13.530810810810811,13.906666666666666,13.716164383561644,13.716164383561644,13.716164383561644,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,0.0,13.906666666666666,13.906666666666666,13.906666666666666,12.747777777777777,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,12.927323943661971,0.0,13.310666666666666,0.0
EATING DISORDER,1.0,4.764320987654321,7.8225,0.0,8.631724137931034,8.706782608695653,9.27111111111111,10.686175438596491,10.53978947368421,10.53978947368421,10.503971631205674,0.0,11.536212121212122,11.64279069767442,11.779764705882354,10.926666666666666,12.210731707317073,12.361481481481482,13.015213675213674,0.0,13.174736842105263,13.535822222222222,13.535822222222222,0.0,13.71873873873874,13.530810810810811,13.716164383561644,13.716164383561644,13.716164383561644,13.716164383561644,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,0.0,13.906666666666666,13.906666666666666,13.906666666666666,12.747777777777777,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,12.927323943661971,0.0,13.310666666666666,0.0
CYSTITIS,1.0,4.763450950950951,7.92820945945946,0.0,8.748369058713886,8.824441833137485,9.396396396396396,10.83058321479374,10.68221906116643,10.68221906116643,10.645917193789534,0.0,11.692106879606879,11.80012570710245,11.938950715421303,11.074324324324325,12.37574159525379,12.528528528528529,13.19109494109494,0.0,13.352773826458037,13.71873873873874,13.71873873873874,13.71873873873874,0.0,13.713659605551497,13.901517956312476,13.901517956312476,13.901517956312476,13.901517956312476,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,0.0,14.094594594594595,14.094594594594595,14.094594594594595,12.920045045045045,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,13.102017510468215,0.0,13.490540540540541,0.0
NASOPHARYNGITIS,1.0,4.698198198198198,7.92820945945946,0.0,8.748369058713886,8.824441833137485,9.526901901901901,10.83058321479374,10.83058321479374,10.68221906116643,10.645917193789534,0.0,11.692106879606879,11.80012570710245,12.104769475357712,11.074324324324325,12.37574159525379,12.528528528528529,13.01039501039501,0.0,13.352773826458037,13.71873873873874,13.530810810810811,13.530810810810811,13.713659605551497,0.0,13.901517956312476,13.901517956312476,13.901517956312476,13.901517956312476,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,0.0,14.094594594594595,14.094594594594595,14.094594594594595,12.920045045045045,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,14.094594594594595,13.102017510468215,0.0,13.28918918918919,0.0
MUSCLE SPASTICITY,1.0,4.762557077625571,8.036815068493151,0.0,8.868209730751063,8.945324597974984,9.657407407407407,10.828550829127613,10.828550829127613,10.828550829127613,10.79175167589624,0.0,11.689912826899128,11.961771264733992,12.102497985495567,11.226027397260275,12.54527230203809,12.700152207001523,13.188619599578503,0.0,13.535688536409516,13.716164383561644,13.906666666666666,13.716164383561644,13.901517956312476,13.901517956312476,0.0,14.091949709138675,14.091949709138675,14.091949709138675,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,0.0,14.287671232876713,14.287671232876713,14.287671232876713,13.09703196347032,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,13.281497202392437,0.0,13.471232876712328,0.0
PSORIASIS,1.0,4.762557077625571,8.036815068493151,0.0,8.868209730751063,8.945324597974984,9.525114155251142,10.828550829127613,10.828550829127613,10.828550829127613,10.79175167589624,0.0,11.689912826899128,11.961771264733992,12.102497985495567,11.226027397260275,12.54527230203809,12.700152207001523,13.188619599578503,0.0,13.535688536409516,13.716164383561644,13.716164383561644,13.716164383561644,13.901517956312476,13.901517956312476,14.091949709138675,0.0,14.091949709138675,14.091949709138675,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,0.0,14.287671232876713,14.287671232876713,14.287671232876713,13.09703196347032,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,13.281497202392437,0.0,13.471232876712328,0.0
SKIN EXFOLIATION,1.0,4.762557077625571,8.036815068493151,0.0,8.868209730751063,8.945324597974984,9.525114155251142,10.828550829127613,10.828550829127613,10.828550829127613,10.79175167589624,0.0,11.689912826899128,11.961771264733992,12.102497985495567,11.226027397260275,12.54527230203809,12.700152207001523,13.188619599578503,0.0,13.535688536409516,13.716164383561644,13.716164383561644,13.716164383561644,13.901517956312476,13.901517956312476,14.091949709138675,14.091949709138675,0.0,14.091949709138675,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,0.0,14.287671232876713,14.287671232876713,14.287671232876713,13.09703196347032,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,13.281497202392437,0.0,13.471232876712328,0.0
SNEEZING,1.0,4.762557077625571,8.036815068493151,0.0,8.868209730751063,9.069565217391304,9.525114155251142,10.828550829127613,10.828550829127613,10.828550829127613,10.79175167589624,0.0,11.852272727272727,11.961771264733992,12.102497985495567,11.226027397260275,12.54527230203809,12.700152207001523,13.188619599578503,0.0,13.535688536409516,13.716164383561644,13.716164383561644,13.716164383561644,13.901517956312476,13.901517956312476,14.091949709138675,14.091949709138675,14.091949709138675,0.0,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,0.0,14.287671232876713,14.287671232876713,14.287671232876713,13.29547184170472,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,13.281497202392437,0.0,13.675342465753424,0.0
ADJUSTMENT DISORDER,1.0,4.828703703703703,8.1484375,0.0,8.991379310344827,9.069565217391304,9.657407407407407,10.978947368421053,10.978947368421053,10.978947368421053,10.941637115839244,0.0,11.852272727272727,12.127906976744185,12.270588235294118,11.381944444444445,12.71951219512195,12.876543209876543,13.371794871794872,0.0,13.723684210526315,13.906666666666666,13.906666666666666,13.906666666666666,14.094594594594595,14.094594594594595,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,0.0,14.48611111111111,14.48611111111111,14.48611111111111,0.0,14.48611111111111,14.48611111111111,14.48611111111111,13.278935185185185,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,13.465962441314554,0.0,13.658333333333333,0.0
CAROTID ARTERY THROMBOSIS,1.0,4.828703703703703,8.1484375,0.0,8.991379310344827,9.069565217391304,9.657407407407407,10.978947368421053,10.978947368421053,10.978947368421053,10.941637115839244,0.0,11.852272727272727,12.127906976744185,12.270588235294118,11.381944444444445,12.71951219512195,12.876543209876543,13.371794871794872,0.0,13.723684210526315,13.906666666666666,13.906666666666666,13.906666666666666,14.094594594594595,14.094594594594595,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.48611111111111,0.0,14.48611111111111,14.48611111111111,0.0,14.48611111111111,14.48611111111111,14.48611111111111,13.278935185185185,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,13.465962441314554,0.0,13.658333333333333,0.0
HEMIPARESIS,1.0,4.828703703703703,8.1484375,0.0,8.991379310344827,9.069565217391304,9.657407407407407,10.978947368421053,10.978947368421053,10.978947368421053,10.941637115839244,0.0,11.852272727272727,12.127906976744185,12.270588235294118,11.381944444444445,12.71951219512195,12.876543209876543,13.371794871794872,0.0,13.723684210526315,13.906666666666666,13.906666666666666,13.906666666666666,14.094594594594595,14.094594594594595,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.48611111111111,14.48611111111111,0.0,14.48611111111111,0.0,14.48611111111111,14.48611111111111,14.48611111111111,13.278935185185185,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,13.465962441314554,0.0,13.658333333333333,0.0
HEMIPLEGIA,1.0,4.828703703703703,8.1484375,0.0,8.991379310344827,9.069565217391304,9.657407407407407,10.978947368421053,10.978947368421053,10.978947368421053,10.941637115839244,0.0,11.852272727272727,12.127906976744185,12.270588235294118,11.381944444444445,12.71951219512195,12.876543209876543,13.371794871794872,0.0,13.723684210526315,13.906666666666666,13.906666666666666,13.906666666666666,14.094594594594595,14.094594594594595,14.287671232876713,14.287671232876713,14.287671232876713,14.287671232876713,14.48611111111111,14.48611111111111,14.48611111111111,0.0,0.0,14.48611111111111,14.48611111111111,14.48611111111111,13.278935185185185,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,14.48611111111111,13.465962441314554,0.0,13.658333333333333,0.0
