,DIZZINESS,HYPOTENSION,SYNCOPE,COGNITIVE DISORDER,MOBILITY DECREASED,SEDATION,BLOOD PRESSURE DECREASED,CONFUSIONAL STATE,COORDINATION ABNORMAL,CONTUSION,GAIT DISTURBANCE,DELIRIUM,VERTIGO,FRACTURE,HEAD INJURY,SOMNOLENCE,LOSS OF CONSCIOUSNESS,DISORIENTATION,MEMORY IMPAIRMENT,ORTHOSTATIC HYPOTENSION,BALANCE DISORDER,SKIN LACERATION,FEMUR FRACTURE,DISTURBANCE IN ATTENTION,VISUAL IMPAIRMENT,INJURY,MENTAL STATUS CHANGES,LETHARGY,WOUND,HIP FRACTURE,DEPRESSED LEVEL OF CONSCIOUSNESS,CRANIOCEREBRAL INJURY
HEAD INJURY,-0.055221682497742744,-0.04546435008611161,0.0,0.0,0.0,0.0,0.0,-0.0709133260210045,0.0,0.08295575129432328,0.0,-0.002946056459561222,0.0,0.0,0.0,0.0006445737283421912,0.12113127553773499,0.09586861511207881,0.0,0.0,0.02055429133540667,0.14067591833800608,0.0,0.0,0.0,0.0,0.0,0.0,0.055508091641945416,0.0,0.0,0.0
SOMNOLENCE,0.0,0.0017897709794503585,0.0,0.006695879789595657,0.0,0.0,0.0,0.03377771159461958,0.0,-0.002792620698680059,0.02630162461207625,0.0,0.02220504153717156,0.0,0.0006445737283421912,0.0,0.0,0.0,0.0,0.0,0.02599373185913145,0.0,0.0,0.0,0.0,0.04766351568283949,0.0,0.0,0.0,0.0,0.0,0.0
LOSS OF CONSCIOUSNESS,-0.03493602167480752,0.0,0.189476391211716,-0.023243613058332523,0.0,0.0,0.0,-0.10622677664636561,0.0,-0.01800072750516756,0.0072855584404820685,0.0,0.0,0.0,0.12113127553773499,0.0,0.0,0.0,0.07132702702933817,0.09454671767458118,0.02681795932134082,0.03090813817254343,0.0,0.0,0.0,0.07682431690136651,0.0,0.0,0.0,0.0,0.0,0.14359109853620017
DISORIENTATION,-0.02698972971541796,0.0,0.0,0.005661006929401043,0.0,0.0,0.0,0.12571790616489928,0.0,0.031221262476445574,0.0,0.0,0.0,0.0,0.09586861511207881,0.0,0.0,0.0,0.0,0.08371457917010348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEMORY IMPAIRMENT,0.02686608823883539,0.04996704264692265,0.0,0.09198136095119691,0.09956856298165301,0.0,0.0,0.02428193436182445,0.0,0.0,0.054210906697761886,0.0,0.0,0.0,0.0,0.0,0.07132702702933817,0.0,0.0,0.0,0.0,0.0,0.0,0.26318116702324823,0.2775637329073935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORTHOSTATIC HYPOTENSION,0.06239648993469519,0.009144547573220594,0.03812568017719527,0.11489008973800631,0.12693052132829946,0.10804150453955902,0.10553565768419625,-0.017741435138955704,0.0,0.0,0.0,0.0,0.07161427492667537,0.0,0.0,0.0,0.09454671767458118,0.08371457917010348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2321925535285508
BALANCE DISORDER,0.011351587413829536,0.0,0.0,0.0,0.0,0.0,0.0,-0.04354203603011455,0.0,0.0,0.056273175088962166,0.0,0.10813407227576313,0.0,0.02055429133540667,0.02599373185913145,0.02681795932134082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKIN LACERATION,0.053498652713661936,0.0,0.0,0.0,0.0,0.0,0.0,-0.009434493467880157,0.0,0.0846446514938704,0.0,0.0,0.0,0.0,0.14067591833800608,0.0,0.03090813817254343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMUR FRACTURE,0.04064388410433843,0.1310062907627393,0.07417515732033715,0.15886699450950917,0.2052931057050615,0.12338188954168923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISTURBANCE IN ATTENTION,0.16631929266899909,0.13575000016451153,0.0,0.19764295305200924,0.24630430102053427,0.0,0.0,0.03901981118755667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26318116702324823,0.0,0.0,0.0,0.0,0.0,0.47149754414686723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISUAL IMPAIRMENT,0.11694644679483436,0.14528639427052867,0.0,0.17049221454708996,0.21339445463941606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15679286780092552,0.0,0.0,0.0,0.0,0.0,0.2775637329073935,0.0,0.0,0.0,0.0,0.47149754414686723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INJURY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04766351568283949,0.07682431690136651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
